Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Afghanistan,13.35,0.26,2.57,8.10,14.10,18.92,23.31,25.43,23.92,19.31,13.67,7.14,2.76
Daykundi,8.63,-4.37,-2.62,3.24,9.67,14.09,18.10,20.47,19.25,14.41,8.98,2.83,-1.20
Panjsher,1.94,-10.28,-7.85,-3.18,1.55,5.28,9.74,12.31,11.72,8.24,3.83,-2.08,-6.60
Laghman,14.44,2.07,4.01,9.12,14.13,19.06,23.61,25.21,24.43,21.16,16.11,9.32,4.41
Logar,9.11,-4.72,-3.00,3.72,9.76,14.30,18.40,20.65,19.83,15.88,10.37,4.37,-0.96
Nangarhar,17.16,5.10,7.09,12.02,17.10,22.28,26.68,27.39,26.39,23.52,18.57,11.95,7.16
Nimroz,23.21,9.33,12.70,18.16,24.89,30.16,34.65,35.73,33.62,28.95,23.08,15.65,10.92
Badakhshan,1.90,-11.54,-9.37,-3.87,2.00,5.77,10.21,13.58,13.34,9.12,3.59,-2.81,-7.91
Nuristan,3.80,-8.48,-6.54,-1.76,3.29,7.44,11.92,14.28,13.81,10.45,5.72,-0.19,-4.98
Badghis,12.13,-0.29,1.31,6.75,12.58,17.63,22.14,24.45,22.62,17.42,11.94,6.05,2.25
Paktika,12.59,-1.47,0.69,7.26,13.47,18.52,22.64,24.15,23.23,19.22,13.21,7.26,2.13
Baghlan,9.66,-3.36,-1.13,4.16,9.62,13.96,18.75,21.33,20.39,16.37,11.25,4.40,-0.50
Paktya,9.65,-4.18,-2.41,4.16,10.27,15.01,19.17,21.01,20.09,16.32,10.88,4.96,-0.28
Balkh,16.03,2.53,4.80,10.30,16.57,22.06,27.04,29.28,27.51,22.25,15.92,8.87,4.43
Bamyan,4.14,-8.63,-6.81,-0.99,5.15,9.02,12.65,15.14,14.18,9.89,5.04,-0.76,-4.91
Samangan,10.15,-2.91,-0.96,4.56,10.60,15.11,19.69,22.19,21.02,16.49,11.07,4.34,-0.15
Farah,19.11,6.08,8.69,13.89,19.91,25.21,30.07,31.88,29.81,24.99,18.92,11.64,7.52
Sar-e-Pul,9.14,-3.62,-1.86,3.51,9.63,14.26,18.81,21.34,19.98,15.10,9.49,3.09,-0.78
Faryab,13.69,1.17,3.04,8.05,14.02,19.07,23.89,26.13,24.43,19.40,13.59,7.32,3.50
Ghazni,8.00,-5.99,-3.95,2.70,9.03,13.61,17.49,19.80,18.85,14.36,8.55,2.81,-2.00
Ghor,7.75,-4.75,-3.08,2.40,8.43,12.93,17.29,19.80,18.30,13.30,7.92,1.68,-1.90
Hilmand,20.12,6.84,9.79,15.38,21.69,26.87,30.94,32.52,30.26,25.43,19.71,12.85,8.54
Hirat,15.43,2.92,5.15,10.18,15.78,20.97,25.78,27.94,26.05,21.10,15.32,8.57,4.72
Uruzgan,12.33,-0.68,1.27,6.99,13.45,18.08,22.25,24.43,23.00,18.05,12.38,6.06,2.01
Jawzjan,17.64,4.24,6.61,11.99,18.19,23.89,28.72,30.83,28.88,23.72,17.25,10.47,6.18
Parwan,5.85,-6.81,-4.66,0.83,6.09,9.99,14.12,16.53,15.78,12.17,7.50,1.39,-3.41
Kabul,10.88,-2.18,-0.51,5.60,11.17,15.51,19.77,22.05,21.28,17.68,12.50,6.10,0.90
Kandahar,18.55,5.60,8.39,13.95,19.91,24.95,28.77,30.72,28.63,23.78,17.98,11.70,7.53
Kapisa,9.26,-3.24,-1.16,4.09,9.06,13.32,17.79,19.99,19.25,15.88,11.09,4.67,-0.25
Khost,14.43,1.84,3.64,9.33,14.93,19.82,23.95,24.69,23.75,20.64,15.74,9.53,4.67
Kunar,12.91,0.63,2.41,7.16,12.24,17.28,22.11,23.53,22.83,19.79,14.72,8.33,3.19
Kunduz,17.06,2.94,5.77,11.54,17.43,22.78,28.22,30.35,28.59,23.66,17.60,10.06,5.06
Takhar,10.58,-2.50,-0.00,5.14,10.57,14.74,19.73,22.60,21.60,17.16,11.89,5.12,0.23
Wardak,5.52,-7.99,-6.07,0.37,6.48,10.58,14.29,16.69,15.88,11.76,6.60,0.87,-4.00
Zabul,13.12,-0.30,2.08,8.04,14.13,18.96,22.93,25.05,23.79,19.11,13.04,7.11,2.73
