Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Angola,21.77,22.77,22.89,22.93,22.48,21.12,18.84,18.48,20.35,22.31,23.36,22.95,22.81
Bengo,24.20,25.57,26.03,26.27,26.04,25.17,22.72,21.33,21.11,22.37,23.93,24.87,25.11
Benguela,20.83,21.96,22.42,22.72,22.53,21.09,18.24,17.61,18.68,20.37,21.12,21.63,21.70
"Lunda Sul",22.19,22.21,22.25,22.39,22.42,21.85,20.29,20.65,22.66,23.36,23.41,22.53,22.32
Bie,19.91,20.81,20.82,20.81,20.71,19.16,16.65,16.55,18.87,21.41,21.69,20.91,20.63
Malanje,22.05,22.35,22.80,22.78,22.45,22.11,20.06,20.22,21.54,22.76,22.90,22.34,22.32
Cabinda,25.18,26.39,26.78,26.95,26.79,25.95,23.45,22.24,22.37,23.86,25.43,26.11,25.97
Moxico,22.03,22.93,23.01,23.26,22.58,20.97,18.82,18.35,20.92,23.20,24.13,23.33,22.96
"Cuando Cubango",21.92,23.87,23.78,23.44,22.41,19.74,16.89,16.30,19.56,22.65,25.46,24.65,24.41
Namibe,19.91,21.63,22.18,22.53,21.58,19.56,16.99,16.40,17.35,19.08,19.97,20.74,21.08
"Cuanza Sul",20.69,21.63,21.99,22.04,22.05,21.15,18.90,18.28,18.92,20.16,20.88,21.13,21.25
Uige,22.78,23.37,23.55,23.78,23.57,23.47,21.86,20.83,21.15,22.35,23.20,23.13,23.18
Cunene,21.70,23.70,23.17,22.92,22.21,19.79,17.04,16.81,19.26,22.57,24.69,24.41,23.95
Zaire,24.20,25.46,25.66,25.96,25.73,25.00,22.79,21.39,21.33,22.79,24.34,24.96,25.16
Huambo,18.96,19.49,19.66,19.54,19.64,18.55,16.47,16.31,18.37,20.36,20.22,19.64,19.38
Huila,20.35,21.31,21.28,21.30,20.91,19.44,16.86,16.68,18.96,21.68,22.44,21.90,21.58
"Kuanza Norte",22.45,23.37,23.71,23.86,23.65,23.24,21.34,20.18,20.16,21.39,22.60,22.92,23.13
Luanda,25.16,26.77,27.49,27.67,27.31,26.13,23.35,21.97,21.74,22.99,24.62,25.89,26.20
"Lunda Norte",22.83,22.65,22.98,23.04,23.01,22.89,21.35,21.86,23.31,23.71,23.53,22.84,22.83
