Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Anguilla,27.71,26.20,26.21,26.53,27.11,27.80,28.66,28.81,29.09,29.00,28.62,27.74,26.73
"Name Unknown",27.71,26.20,26.21,26.53,27.11,27.80,28.66,28.81,29.09,29.00,28.62,27.74,26.73
"Name Unknown",27.71,26.20,26.21,26.53,27.11,27.80,28.66,28.81,29.09,29.00,28.62,27.74,26.73
"Name Unknown",27.71,26.20,26.21,26.53,27.11,27.80,28.66,28.81,29.09,29.00,28.62,27.74,26.73
"Name Unknown",27.71,26.20,26.21,26.53,27.11,27.80,28.66,28.81,29.09,29.00,28.62,27.74,26.73
"Name Unknown",27.71,26.20,26.21,26.53,27.11,27.80,28.66,28.81,29.09,29.00,28.62,27.74,26.73
"Name Unknown",27.71,26.20,26.21,26.53,27.11,27.80,28.66,28.81,29.09,29.00,28.62,27.74,26.73
"Name Unknown",27.71,26.20,26.21,26.53,27.11,27.80,28.66,28.81,29.09,29.00,28.62,27.74,26.73
"Name Unknown",27.71,26.20,26.21,26.53,27.11,27.80,28.66,28.81,29.09,29.00,28.62,27.74,26.73
"Name Unknown",27.71,26.20,26.21,26.53,27.11,27.80,28.66,28.81,29.09,29.00,28.62,27.74,26.73
"Name Unknown",27.71,26.20,26.21,26.53,27.11,27.80,28.66,28.81,29.09,29.00,28.62,27.74,26.73
