Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Albania,12.47,3.04,4.04,7.06,10.88,15.60,19.37,22.17,22.43,17.96,13.35,8.78,4.43
Peqin,15.27,6.33,7.25,10.06,13.58,18.14,21.18,24.79,24.98,20.71,16.29,11.80,7.62
Permet,11.90,2.53,3.54,6.43,10.14,14.92,18.97,21.64,21.86,17.36,12.78,8.17,3.79
Durres,15.48,6.47,7.38,10.23,13.78,18.36,21.55,25.05,25.24,20.90,16.45,11.94,7.81
Pogradec,10.43,0.58,1.71,4.95,9.01,13.72,17.63,20.25,20.53,16.09,11.31,6.67,2.07
Elbasan,12.62,3.36,4.32,7.21,10.98,15.59,19.25,22.15,22.43,18.11,13.59,9.07,4.80
Puke,11.35,1.25,2.48,5.95,10.17,15.05,18.67,21.43,21.64,16.90,11.96,7.28,2.75
Fier,16.37,7.83,8.55,11.05,14.35,18.76,22.83,25.44,25.82,21.64,17.57,13.03,8.99
Sarande,14.46,5.59,6.53,9.06,12.43,17.10,21.28,23.84,24.12,19.77,15.46,10.88,6.83
Gjirokaster,12.71,3.52,4.49,7.27,10.87,15.61,19.69,22.33,22.57,18.12,13.63,9.04,4.77
Shkoder,12.14,2.43,3.40,6.65,10.67,15.57,19.23,22.19,22.39,17.64,12.81,8.21,3.88
Gramsh,11.50,2.12,3.05,6.06,9.85,14.57,18.42,21.11,21.38,17.07,12.43,7.89,3.51
Skrapar,11.66,2.30,3.25,6.22,9.98,14.72,18.62,21.31,21.56,17.20,12.58,8.02,3.65
Has,11.06,0.36,2.00,5.80,10.23,15.10,18.80,21.29,21.51,16.70,11.60,6.69,1.96
Tepelene,13.10,4.22,4.99,7.65,11.09,15.78,19.89,22.48,22.79,18.43,14.15,9.63,5.48
Kavaje,15.50,6.62,7.50,10.29,13.77,18.32,21.43,24.99,25.19,20.92,16.54,12.04,7.90
Tirane,14.47,5.42,6.37,9.21,12.81,17.39,20.54,24.02,24.22,19.93,15.47,10.98,6.76
Kolonje,10.19,0.49,1.60,4.69,8.49,13.36,17.48,20.08,20.35,15.81,11.11,6.45,1.85
Tropoje,10.70,0.41,1.75,5.33,9.63,14.54,18.23,20.82,21.04,16.27,11.30,6.52,1.92
Korce,10.49,0.65,1.77,4.99,9.06,13.78,17.72,20.34,20.62,16.15,11.35,6.72,2.11
Kruje,14.87,5.53,6.55,9.58,13.33,18.01,21.18,24.67,24.82,20.35,15.67,11.17,6.95
Vlore,14.25,5.66,6.32,8.83,12.12,16.69,20.84,23.42,23.77,19.52,15.41,10.95,6.90
Kucove,15.98,7.29,8.09,10.64,14.03,18.50,22.53,25.15,25.52,21.27,17.14,12.56,8.48
Kukes,10.13,-0.09,1.19,4.76,9.09,13.91,17.56,20.09,20.39,15.72,10.80,6.12,1.47
Kurbin,14.52,4.84,5.95,9.17,13.12,17.89,21.18,24.56,24.68,20.04,15.14,10.62,6.38
Lezhe,14.59,4.90,6.01,9.24,13.18,17.95,21.25,24.63,24.75,20.11,15.21,10.68,6.46
Librazhd,10.65,1.05,2.12,5.16,9.15,13.82,17.52,20.30,20.59,16.22,11.56,7.03,2.64
Lushnje,15.94,7.23,8.04,10.63,14.02,18.50,22.35,25.16,25.49,21.26,17.08,12.53,8.44
"Malesi E Madhe",11.54,1.80,2.76,6.05,10.06,15.01,18.76,21.63,21.86,17.05,12.23,7.55,3.16
Berat,14.36,5.42,6.27,8.99,12.52,17.08,21.05,23.69,24.02,19.75,15.43,10.87,6.68
Mallakaster,15.35,6.60,7.40,9.99,13.40,17.91,21.96,24.57,24.92,20.66,16.49,11.92,7.81
Bulqize,10.54,0.89,1.94,5.06,9.12,13.82,17.47,20.24,20.54,16.09,11.38,6.90,2.47
Mat,11.92,2.21,3.26,6.49,10.57,15.32,18.80,21.78,22.02,17.43,12.62,8.16,3.75
Delvine,13.99,5.06,5.99,8.59,12.00,16.68,20.84,23.42,23.69,19.32,14.99,10.41,6.31
Mirdite,12.49,2.73,3.80,7.08,11.17,15.94,19.37,22.42,22.64,18.00,13.14,8.67,4.27
Devoll,10.26,0.25,1.46,4.78,8.88,13.63,17.62,20.21,20.47,15.96,11.12,6.43,1.72
Diber,9.99,0.19,1.18,4.51,8.74,13.51,17.10,19.77,20.11,15.50,10.70,6.29,1.72
