Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Argentina,15.10,21.62,20.62,18.72,15.02,11.41,8.64,7.94,10.07,12.63,15.76,18.45,20.70
"Santiago Del Estero",21.30,27.32,26.16,24.48,20.98,17.46,14.72,13.94,16.58,19.60,22.81,25.11,26.77
"La Rioja",16.39,23.05,21.67,20.00,16.20,12.25,8.83,8.29,11.02,14.14,18.02,20.74,22.78
"Tierra Del Fuego",4.97,9.25,8.93,7.43,5.32,2.92,0.77,0.41,1.57,3.04,5.18,6.84,8.18
"Buenos Aires D.f.",17.20,23.91,22.92,21.20,17.61,14.21,11.24,10.36,12.25,14.05,16.82,19.70,22.46
Mendoza,13.08,20.64,19.32,17.27,12.92,9.11,6.04,5.18,7.31,9.93,13.39,16.75,19.46
Tucuman,17.69,23.36,22.25,20.80,17.46,13.85,10.99,10.26,13.00,16.35,19.47,21.59,23.25
Catamarca,11.72,16.70,15.88,14.77,11.78,8.50,5.41,4.92,7.35,10.27,13.21,15.34,16.78
Misiones,20.99,25.79,25.19,24.15,21.45,17.46,16.22,15.47,17.68,19.02,21.70,23.15,24.91
Chaco,22.32,27.88,26.89,25.28,22.12,18.60,16.54,15.89,18.11,20.73,23.63,25.34,27.14
Neuquen,10.83,18.38,17.47,14.84,10.27,6.89,4.39,3.50,5.22,7.52,10.86,14.14,16.85
Chubut,10.42,17.54,16.83,14.32,10.37,6.69,3.78,3.14,5.06,7.52,10.53,13.42,16.19
"Rio Negro",12.53,20.54,19.46,16.71,12.10,8.24,5.33,4.63,6.69,9.26,12.65,16.16,19.03
Cordoba,17.93,24.43,23.18,21.62,18.08,14.45,11.30,10.39,12.78,15.42,18.65,21.51,23.70
Salta,17.02,21.42,20.68,19.54,16.85,13.66,11.35,10.83,13.09,16.14,19.04,20.44,21.45
Corrientes,21.06,26.73,25.97,24.46,21.34,17.78,15.78,14.95,16.99,18.60,21.40,23.43,25.61
"San Juan",11.39,18.21,16.95,15.23,11.35,7.73,4.41,4.03,5.99,8.53,11.98,15.08,17.50
"Entre Rios",18.63,25.18,24.11,22.44,18.72,15.45,12.70,11.83,13.76,15.72,18.66,21.47,23.88
"San Luis",17.34,24.60,23.15,21.20,17.04,13.22,10.01,9.17,11.79,14.61,18.29,21.49,23.85
Formosa,23.40,28.45,27.67,26.17,23.22,19.68,18.10,17.28,19.47,22.19,24.86,26.15,27.79
"Santa Cruz",8.00,14.18,13.68,11.45,8.10,4.44,1.65,1.30,3.14,5.69,8.59,11.12,13.03
Jujuy,10.62,14.36,13.78,13.22,11.04,7.56,5.50,4.85,6.90,9.77,12.46,13.77,14.48
"Santa Fe",19.42,25.71,24.64,23.06,19.62,16.18,13.37,12.54,14.54,16.77,19.86,22.45,24.63
"La Pampa",15.98,24.22,22.64,20.04,15.33,11.29,8.32,7.50,9.87,12.89,16.51,20.29,23.24
"Buenos Aires",15.57,22.69,21.57,19.65,15.69,12.10,9.12,8.36,10.22,12.44,15.36,18.52,21.43
