Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Armenia,7.86,-6.36,-4.70,1.21,7.67,12.26,17.13,20.86,20.89,16.22,9.71,2.40,-3.77
Tavush,9.56,-3.92,-2.41,3.21,9.37,13.92,18.60,22.08,22.04,17.46,11.12,4.10,-1.66
"Vayots Dzor",7.07,-7.30,-5.60,0.31,6.78,11.32,16.52,20.44,20.34,15.62,8.93,1.46,-4.80
Aragatsotn,8.39,-6.45,-4.61,1.77,8.41,13.11,17.77,21.47,21.66,16.88,10.36,2.93,-3.51
Yerevan,8.62,-6.02,-4.13,2.17,8.60,13.21,18.06,21.77,21.83,17.04,10.42,3.02,-3.33
Ararat,10.29,-4.54,-2.46,4.00,10.25,14.90,19.93,23.66,23.57,18.77,12.09,4.35,-1.96
Armavir,9.56,-5.44,-3.47,3.08,9.67,14.35,19.04,22.70,22.86,18.06,11.52,3.98,-2.44
Gergharkunik,6.86,-7.13,-5.62,0.13,6.61,11.14,16.12,19.93,19.88,15.18,8.59,1.41,-4.70
Kotayk,7.35,-7.07,-5.39,0.70,7.24,11.86,16.68,20.48,20.51,15.79,9.21,1.89,-4.47
Lori,7.57,-6.37,-4.92,0.97,7.42,12.10,16.60,20.19,20.37,15.77,9.43,2.35,-3.81
Shirak,5.73,-8.94,-7.40,-1.27,5.73,10.43,14.85,18.51,18.90,14.31,8.01,0.77,-5.94
Syunik,8.04,-5.88,-4.15,1.28,7.52,11.99,17.33,21.21,21.03,16.45,9.91,2.43,-3.40
