Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Australia,22.05,28.38,27.59,25.76,22.45,18.28,15.28,14.67,16.32,19.92,23.24,25.71,27.34
Queensland,23.55,29.11,28.33,26.86,23.85,20.00,17.16,16.54,18.10,21.86,25.07,27.35,28.72
"South Australia",19.63,27.48,26.65,23.84,19.77,15.36,12.24,11.72,13.31,16.90,20.18,23.20,25.44
Tasmania,10.90,15.42,15.39,13.75,11.33,9.10,7.26,6.80,7.30,8.56,10.31,12.10,13.73
Victoria,14.44,21.18,20.92,18.22,14.62,11.45,9.02,8.41,9.25,11.32,13.94,16.56,18.86
"Western Australia",22.65,29.02,28.22,26.68,23.50,18.98,15.85,15.12,16.77,20.16,23.72,26.21,27.97
"Australian Capital Territory",11.61,19.44,18.71,15.78,11.67,7.85,5.36,4.37,5.43,8.29,11.57,14.40,16.95
"New South Wales",17.87,25.90,25.06,22.14,17.85,13.67,10.77,9.97,11.35,14.70,18.24,21.33,23.88
"Northern Territory",25.07,30.21,29.35,28.04,25.26,21.27,18.19,17.86,20.00,24.32,27.41,29.29,29.94
"Other Territories",17.41,21.99,21.88,20.53,18.19,15.44,13.51,12.52,13.27,15.40,17.31,18.85,20.39
