Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Austria,7.43,-2.15,-1.04,2.67,7.06,11.47,15.15,16.95,16.77,12.37,7.93,2.84,-1.37
Tirol,4.47,-3.88,-3.52,-0.29,3.38,7.65,11.23,13.20,13.11,9.30,5.56,0.49,-3.21
Vorarlberg,6.31,-2.06,-1.64,1.61,5.39,9.62,13.14,15.03,14.87,11.14,7.06,2.28,-1.29
Wien,10.94,0.16,1.83,6.26,11.34,15.78,19.34,21.21,20.97,16.06,10.77,5.64,1.26
Burgenland,10.76,-0.09,1.72,6.11,11.13,15.56,19.20,21.04,20.84,15.94,10.79,5.48,0.80
Karnten,6.69,-2.89,-1.68,1.97,6.07,10.44,14.25,16.16,16.01,11.76,7.50,2.30,-2.19
Niederosterreich,9.33,-1.04,0.41,4.51,9.52,14.03,17.65,19.41,19.15,14.34,9.33,4.20,-0.09
Oberosterreich,8.54,-1.24,0.07,3.86,8.42,12.85,16.64,18.26,17.90,13.29,8.58,3.74,-0.45
Salzburg,5.24,-3.37,-2.80,0.43,4.26,8.56,12.20,14.11,14.07,10.02,6.26,1.26,-2.71
Steiermark,7.40,-2.43,-1.11,2.62,7.05,11.55,15.27,16.97,16.83,12.40,8.02,2.78,-1.67
