Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Azerbaijan,13.37,1.87,2.59,6.47,12.22,17.03,22.33,25.19,24.93,20.70,14.71,8.31,3.37
Shaki-Zaqatala,10.91,-0.90,0.00,4.25,10.27,14.81,19.88,22.86,22.49,18.14,11.97,5.70,0.67
"Yukhari Garabakh",13.44,1.41,2.64,6.82,12.76,17.23,22.53,25.56,25.11,20.83,14.82,7.77,3.05
"Administrative unit not available",15.20,4.92,4.71,7.77,13.01,18.32,23.84,26.49,26.47,22.42,16.66,10.85,6.23
Guba-Khachmaz,10.39,-0.87,-0.73,3.11,9.14,14.07,19.47,22.41,22.14,17.62,11.55,5.18,0.79
Kalbajar-Lachin,8.98,-4.29,-2.84,2.26,8.50,12.92,18.15,21.76,21.53,17.01,10.66,3.43,-2.08
Lankaran,13.96,3.27,3.93,7.14,12.64,17.13,22.47,24.90,24.63,20.81,15.82,9.37,4.74
Nakhchivan,10.53,-4.20,-1.99,4.08,10.27,14.77,20.09,23.96,23.73,19.21,12.47,4.56,-1.47
Ganja-Gazakh,12.76,0.59,1.82,6.54,12.30,16.85,21.68,24.76,24.43,20.06,13.92,7.15,2.21
"Daghlig Shirvan",12.17,0.87,1.37,5.10,11.21,15.90,21.17,23.97,23.74,19.33,13.30,7.01,2.31
Aran,15.71,4.56,5.43,8.80,14.50,19.42,24.81,27.29,26.90,22.81,16.86,10.79,5.63
Absheron,14.20,3.60,3.46,6.74,12.33,17.47,22.97,25.77,25.70,21.47,15.54,9.70,4.88
