Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Burundi,20.52,20.40,20.67,20.59,20.51,20.30,19.77,19.49,20.94,21.43,21.36,20.53,20.29
Bubanza,21.68,21.53,21.82,21.77,21.78,21.70,21.12,20.52,21.84,22.42,22.42,21.70,21.52
Muramvya,18.96,19.01,19.28,19.15,19.00,18.74,18.13,17.86,19.25,19.72,19.62,18.96,18.80
Makamba,21.59,21.50,21.70,21.68,21.63,21.47,20.70,20.12,21.75,22.65,22.77,21.73,21.43
Kirundo,20.88,20.65,21.05,20.86,20.68,20.60,20.54,20.48,21.68,21.51,21.32,20.70,20.49
Kayanza,19.27,19.23,19.55,19.42,19.24,19.06,18.58,18.35,19.66,19.95,19.85,19.25,19.07
Cankuzo,21.17,20.89,21.12,21.10,20.96,20.85,20.51,20.44,21.91,22.35,22.14,21.04,20.73
Rutana,20.77,20.64,20.84,20.80,20.83,20.43,19.69,19.39,21.10,21.97,22.00,20.90,20.61
Bururi,20.20,20.16,20.40,20.35,20.35,20.06,19.29,18.91,20.36,21.07,21.12,20.32,20.07
Ngozi,19.97,19.80,20.19,20.04,19.83,19.72,19.46,19.34,20.57,20.60,20.46,19.87,19.69
"Bujumbura Rural",21.52,21.40,21.67,21.67,21.65,21.51,20.85,20.31,21.67,22.30,22.32,21.56,21.36
Mwaro,18.52,18.58,18.83,18.69,18.63,18.26,17.56,17.34,18.77,19.32,19.28,18.60,18.42
"Bujumbura Mairie",22.41,22.24,22.52,22.49,22.56,22.49,21.89,21.22,22.53,23.16,23.19,22.43,22.26
Muyinga,20.96,20.72,21.09,20.91,20.77,20.65,20.55,20.50,21.79,21.73,21.51,20.79,20.59
Karuzi,20.45,20.28,20.53,20.48,20.41,20.16,19.69,19.55,21.07,21.47,21.28,20.37,20.15
Gitega,18.92,18.93,19.17,19.06,19.03,18.64,17.93,17.72,19.20,19.81,19.77,19.01,18.80
Cibitoke,19.81,19.66,19.98,19.86,19.73,19.74,19.40,18.83,20.16,20.49,20.41,19.87,19.59
Ruyigi,20.90,20.70,20.92,20.90,20.87,20.56,20.00,19.82,21.45,22.08,21.96,20.88,20.61
