Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Benin,28.03,27.08,29.40,31.09,30.84,29.37,27.62,26.31,25.74,26.37,27.56,27.99,27.12
Zou,27.92,28.63,30.07,30.08,29.10,28.21,26.95,25.98,25.55,26.28,27.17,28.63,28.60
Atakora,28.35,26.96,29.56,31.86,31.72,30.03,27.93,26.49,25.91,26.50,27.95,28.28,27.14
Atlantique,27.68,28.05,29.39,29.59,28.90,27.98,26.84,25.93,25.65,26.27,27.10,28.21,28.39
Borgou,27.62,26.79,29.22,30.88,30.45,28.78,27.17,25.98,25.39,25.88,27.00,27.44,26.70
Collines,27.73,28.27,29.99,30.22,29.16,28.11,26.80,25.82,25.31,26.02,26.94,28.24,28.11
Couffo,27.71,28.31,29.68,29.73,28.87,27.99,26.78,25.88,25.45,26.25,27.02,28.39,28.34
Donga,27.37,27.17,29.26,30.33,29.60,28.14,26.67,25.56,25.10,25.74,26.71,27.33,27.00
Littoral,27.49,27.70,28.95,29.31,28.77,27.84,26.69,25.88,25.58,26.19,27.03,27.92,28.10
Mono,27.60,28.04,29.37,29.48,28.80,27.91,26.73,25.84,25.49,26.24,27.01,28.20,28.20
Oueme,27.67,28.10,29.39,29.56,28.89,27.98,26.84,25.94,25.65,26.25,27.07,28.19,28.37
Plateau,27.79,28.36,29.83,29.88,29.01,28.09,26.87,25.93,25.53,26.19,27.08,28.45,28.45
Alibori,28.74,26.01,28.99,32.24,33.05,31.37,29.07,27.29,26.56,27.23,28.73,28.15,26.24
