Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Burkina Faso",29.26,25.65,28.65,32.12,33.58,32.77,30.25,28.23,27.29,28.09,29.67,28.78,26.13
Nord,29.78,24.96,28.03,32.02,34.45,34.33,31.75,29.23,28.06,28.98,30.69,29.09,25.71
Hauts-bassins,28.34,25.82,28.87,31.69,32.42,30.93,28.48,26.74,26.08,26.66,28.33,28.15,26.06
Est,29.45,25.90,28.92,32.54,33.93,32.92,30.27,28.27,27.34,28.17,29.79,28.97,26.41
Centre-sud,29.05,26.25,29.12,32.51,33.41,32.01,29.32,27.61,26.84,27.42,29.00,28.79,26.45
Centre,29.27,25.43,28.44,32.27,34.00,32.90,30.25,28.20,27.34,28.07,29.71,28.80,25.82
Cascades,28.07,26.65,29.44,31.44,31.29,29.64,27.61,26.24,25.84,26.32,27.77,28.12,26.70
Sud-ouest,28.56,27.02,29.82,32.13,31.96,30.28,28.08,26.67,26.13,26.68,28.27,28.72,27.17
"Boucle Du Mouhoun",29.24,25.36,28.56,32.14,33.95,33.15,30.37,28.12,27.12,27.77,29.60,28.84,26.03
Sahel,30.29,24.46,27.46,31.76,34.61,35.37,33.21,30.67,29.23,30.53,31.72,29.03,25.34
"Plateau Central",29.37,25.40,28.40,32.26,34.08,33.17,30.47,28.42,27.44,28.26,29.90,28.82,25.86
Centre-est,29.16,26.49,29.38,32.70,33.46,32.04,29.34,27.63,26.84,27.48,29.08,28.90,26.75
Centre-ouest,29.10,25.94,28.94,32.39,33.61,32.31,29.59,27.74,26.92,27.55,29.26,28.76,26.28
Centre-nord,29.76,24.87,27.89,32.01,34.39,34.28,31.72,29.35,28.15,29.24,30.75,28.88,25.53
