Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Bulgaria,11.37,-0.30,1.76,5.68,10.56,15.76,19.84,22.06,22.11,17.54,12.32,6.99,1.50
Kustendil,9.27,-1.71,-0.04,3.86,8.48,13.47,17.12,19.33,19.65,15.43,10.33,4.81,-0.14
Lovech,10.83,-1.68,0.77,5.04,10.60,15.71,19.75,21.80,21.85,17.20,11.73,6.46,0.09
Montana,11.44,-0.67,1.46,5.73,11.54,16.48,20.25,22.19,22.41,17.42,12.02,6.37,1.37
Pazardzhik,9.72,-1.39,0.45,4.18,8.67,13.79,17.85,20.04,20.19,15.79,10.77,5.53,0.18
Pernik,9.45,-1.69,0.11,4.07,8.86,13.84,17.37,19.51,19.86,15.56,10.47,4.87,-0.11
Pleven,12.30,-0.98,1.76,6.43,12.55,17.70,21.74,23.74,23.74,18.84,13.04,7.48,0.89
Plovdiv,11.09,-0.56,1.68,5.61,10.12,15.44,19.58,21.91,21.81,17.29,11.97,6.63,1.06
Razgrad,11.84,-0.90,1.63,6.10,11.61,16.89,20.87,23.02,22.97,18.02,12.51,7.46,1.24
Ruse,12.23,-0.77,1.91,6.48,12.23,17.56,21.51,23.60,23.57,18.50,12.81,7.48,1.17
Shumen,11.98,-0.10,1.98,6.12,11.15,16.43,20.60,22.85,22.82,18.12,12.99,8.11,2.04
Silistra,12.04,-0.53,1.81,6.28,11.77,17.08,21.20,23.31,23.17,18.23,12.66,7.38,1.49
Sliven,11.54,-0.34,1.93,5.89,10.60,15.96,20.03,22.38,22.29,17.71,12.51,7.37,1.60
Smoljan,8.80,-1.34,0.05,3.31,7.08,12.28,16.45,18.76,18.87,14.58,9.88,4.87,0.20
Sofia,9.30,-2.02,-0.11,3.69,8.64,13.63,17.45,19.52,19.84,15.43,10.29,5.01,-0.43
Sofia-city,9.63,-1.76,0.25,4.11,9.08,14.07,17.78,19.83,20.19,15.79,10.60,5.18,-0.18
Blagoevgrad,9.52,-1.02,0.46,4.07,8.22,13.29,17.35,19.61,19.83,15.58,10.63,5.23,0.34
"Stara Zagora",11.85,-0.05,2.37,6.36,10.84,16.32,20.43,22.85,22.70,18.10,12.60,7.29,1.69
Burgas,13.01,1.98,3.65,6.93,11.44,16.63,21.04,23.39,23.28,19.22,14.81,9.11,4.00
Targovishte,11.49,-0.95,1.44,5.75,10.95,16.29,20.25,22.51,22.43,17.63,12.33,7.40,1.14
Dobrich,12.23,0.99,2.57,6.08,10.89,16.12,20.71,22.99,22.99,18.52,13.31,8.11,2.93
Varna,12.53,1.36,2.83,6.36,11.07,16.28,20.78,23.14,23.13,18.78,13.93,8.74,3.36
Gabrovo,10.54,-1.65,0.77,4.96,9.88,15.24,19.24,21.50,21.43,16.86,11.36,6.18,0.12
"Veliko Tarnovo",11.80,-0.92,1.72,6.12,11.45,16.84,20.83,23.04,22.95,18.12,12.56,7.25,0.98
Haskovo,13.08,1.82,3.98,7.51,11.79,17.14,21.42,23.85,23.80,19.16,13.84,8.56,3.51
Vidin,11.87,0.28,2.07,6.49,11.88,16.87,20.62,22.44,22.64,17.66,12.29,6.47,2.12
Jambol,13.11,1.52,3.74,7.35,12.00,17.25,21.48,23.84,23.77,19.35,14.18,8.80,3.43
Vratca,12.10,-0.81,1.75,6.20,12.37,17.36,21.23,23.24,23.45,18.54,12.83,7.24,1.15
Kardzhali,12.32,1.74,3.52,6.79,10.69,16.01,20.33,22.78,22.82,18.10,13.09,8.00,3.35
