Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Bolivia,20.78,22.48,22.22,22.01,21.28,19.07,17.68,17.83,18.97,20.77,22.20,22.42,22.49
Tarija,19.96,23.48,22.86,21.93,19.76,16.80,14.81,14.79,16.70,19.70,22.30,22.96,23.57
Beni,26.13,27.13,26.80,26.88,26.69,25.15,23.64,24.05,25.09,26.54,27.47,27.21,27.00
Oruro,7.28,9.86,9.80,9.52,8.42,5.36,3.45,3.41,4.15,6.31,8.05,9.37,9.84
"La Paz",17.23,18.53,18.40,18.40,17.91,16.12,14.83,14.96,15.44,16.87,18.18,18.57,18.64
Pando,26.55,27.12,26.91,27.04,27.02,25.78,24.96,25.15,25.88,26.99,27.51,27.30,26.97
Cochabamba,18.27,20.13,19.86,19.66,19.09,16.58,15.21,15.22,15.91,17.87,19.49,20.14,20.18
Chuquisaca,18.10,20.59,20.03,19.64,18.28,15.77,14.42,14.25,15.62,17.91,19.87,20.30,20.61
"Santa Cruz",24.93,26.64,26.42,26.00,25.19,22.80,21.55,21.83,23.39,25.28,26.75,26.67,26.74
Potosi,8.03,10.58,10.33,10.23,8.94,5.99,4.38,4.07,5.09,7.15,9.09,10.18,10.55
