Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Barbados,26.61,25.40,25.34,25.87,26.57,27.31,27.44,27.25,27.34,27.25,26.91,26.65,25.92
"St. George",26.63,25.37,25.30,25.87,26.61,27.38,27.54,27.32,27.40,27.27,26.89,26.65,25.89
"St. James",26.63,25.37,25.30,25.87,26.61,27.38,27.54,27.32,27.40,27.27,26.89,26.65,25.89
"St. John",26.57,25.48,25.40,25.87,26.50,27.16,27.22,27.11,27.23,27.21,26.95,26.65,25.98
"St. Joseph",26.63,25.37,25.30,25.87,26.61,27.38,27.54,27.32,27.40,27.27,26.89,26.65,25.89
"St. Lucy",26.63,25.37,25.30,25.87,26.61,27.38,27.54,27.32,27.40,27.27,26.89,26.65,25.89
"St. Michael",26.63,25.37,25.30,25.87,26.61,27.38,27.54,27.32,27.40,27.27,26.89,26.65,25.89
"St. Peter",26.63,25.37,25.30,25.87,26.61,27.38,27.54,27.32,27.40,27.27,26.89,26.65,25.89
"St. Phillip",26.52,25.57,25.49,25.87,26.42,26.98,26.95,26.93,27.09,27.16,27.00,26.65,26.06
"St. Tomas",26.63,25.37,25.30,25.87,26.61,27.38,27.54,27.32,27.40,27.27,26.89,26.65,25.89
"Christ Church",26.61,25.40,25.33,25.87,26.58,27.32,27.45,27.26,27.35,27.25,26.91,26.65,25.92
"St. Andrew",26.63,25.37,25.30,25.87,26.61,27.38,27.54,27.32,27.40,27.27,26.89,26.65,25.89
