Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Bhutan,10.45,2.47,4.39,8.13,10.83,13.38,15.79,16.20,16.10,14.84,11.72,7.30,3.87
Samtse,16.78,9.44,11.18,15.26,17.67,19.39,20.99,21.15,21.41,20.39,18.44,14.53,11.17
Samdrupjongkhar,18.84,11.38,13.55,17.35,19.51,21.34,23.32,23.75,23.78,22.78,20.37,16.19,12.54
Pemagatshel,19.65,12.22,14.41,18.39,20.49,22.17,24.02,24.37,24.43,23.45,21.22,17.03,13.31
Zhemgang,16.42,8.88,10.97,14.95,17.20,19.03,20.96,21.33,21.36,20.29,17.90,13.72,10.13
Sarpang,18.23,10.78,12.95,17.02,19.16,20.78,22.48,22.81,22.93,21.97,19.82,15.66,12.08
Haa,8.58,0.80,2.34,6.16,8.93,11.46,13.78,14.16,14.12,12.85,9.87,5.68,2.47
Dagana,15.06,7.58,9.56,13.54,15.85,17.73,19.49,19.77,19.90,18.82,16.59,12.50,9.07
Wangduephodrang,7.19,-1.02,0.86,4.53,7.44,10.30,12.91,13.31,13.11,11.79,8.35,3.84,0.47
Punakha,6.12,-2.24,-0.48,3.21,6.23,9.37,12.23,12.57,12.36,10.88,7.22,2.51,-0.80
Bumthang,4.32,-4.27,-2.36,1.16,4.32,7.50,10.54,11.08,10.80,9.37,5.41,0.70,-2.82
Chhukha,16.19,8.79,10.71,14.76,17.06,18.81,20.45,20.70,20.91,19.86,17.78,13.75,10.35
Thimphu,5.59,-2.69,-1.05,2.55,5.67,8.77,11.60,12.04,11.87,10.40,6.63,2.07,-1.15
Gasa,1.27,-7.62,-5.85,-2.32,1.02,4.68,8.05,8.63,8.26,6.64,2.20,-2.78,-6.07
Trashiyangtse,7.33,-1.04,1.01,4.44,7.37,10.44,13.27,13.83,13.56,12.19,8.53,3.76,0.27
Trashigang,11.62,3.87,5.91,9.40,12.01,14.49,16.82,17.32,17.10,15.90,12.87,8.41,5.10
Lhuentse,7.36,-1.01,1.01,4.53,7.46,10.56,13.36,13.81,13.54,12.17,8.53,3.78,0.24
Trongsa,9.47,1.49,3.40,7.14,9.88,12.43,14.86,15.26,15.09,13.86,10.69,6.32,2.90
Monggar,14.43,6.86,8.97,12.70,15.03,17.22,19.36,19.63,19.52,18.43,15.75,11.44,7.97
Tsirang,16.02,8.50,10.58,14.57,16.85,18.67,20.47,20.80,20.85,19.86,17.51,13.34,9.87
Paro,4.51,-3.78,-2.32,1.28,4.52,7.66,10.54,11.11,10.93,9.43,5.49,0.98,-2.14
