Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Botswana,22.09,26.55,26.02,24.83,22.04,18.35,15.23,14.83,17.85,21.91,25.16,26.13,26.45
Ngamiland,23.28,26.48,26.19,25.42,23.35,19.90,16.97,16.58,19.77,23.80,26.94,27.34,26.88
"North East",21.30,25.09,24.66,23.57,21.16,17.83,15.21,14.69,17.64,21.67,24.40,25.08,24.88
South-East,20.85,25.77,25.15,23.75,20.56,17.17,13.95,13.87,16.61,20.47,23.49,24.48,25.17
Southern,20.79,25.87,25.08,23.83,20.65,16.96,13.69,13.34,16.32,20.15,23.45,24.80,25.63
Central,22.17,26.16,25.76,24.67,22.05,18.63,15.74,15.23,18.32,22.38,25.31,26.04,26.05
Chobe,23.24,25.78,25.65,25.15,23.19,20.31,17.47,16.85,20.15,24.45,26.97,27.04,26.08
Ghanzi,22.07,26.75,26.08,24.84,22.00,18.13,15.01,14.70,17.74,21.77,25.19,26.25,26.68
Kgalagadi,21.15,27.48,26.70,24.90,21.16,16.83,13.17,12.90,15.49,19.75,23.57,25.39,26.82
Kgatleng,21.78,26.66,26.21,24.78,21.63,18.07,14.82,14.45,17.55,21.44,24.51,25.42,26.05
Kweneng,21.45,26.27,25.57,24.34,21.32,17.66,14.49,14.06,17.20,20.95,24.25,25.46,26.08
