Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Central African Republic",25.47,24.58,26.71,27.71,27.50,26.55,25.27,24.51,24.23,24.44,24.89,24.97,24.38
Mbomou,25.14,24.31,26.46,26.92,26.72,25.84,25.02,24.28,24.25,24.44,24.69,24.84,24.08
Nana-Gribizi,26.36,25.75,28.02,29.08,28.65,27.29,25.95,25.10,24.73,25.01,25.55,25.84,25.45
Nana-Mambéré,23.96,24.18,25.69,25.94,25.20,24.26,23.29,22.84,22.64,22.62,23.14,24.02,23.87
"Ombella M'Poko",25.09,24.72,26.65,27.09,26.57,25.83,24.67,24.30,23.98,23.91,24.17,24.82,24.51
Bamingui-Bangoran,26.77,25.99,28.19,29.58,29.53,28.16,26.54,25.40,24.99,25.40,25.97,25.96,25.68
Ouaka,25.46,25.08,27.21,27.65,27.15,26.04,25.02,24.35,24.20,24.38,24.76,25.01,24.84
Basse-Kotto,25.36,24.89,26.74,27.12,26.55,25.86,25.02,24.35,24.50,24.54,24.78,25.11,24.95
Ouham,26.02,25.02,27.46,28.82,28.31,27.13,25.74,24.98,24.54,24.71,25.29,25.62,24.78
Haut-Mbomou,25.61,24.67,26.72,27.62,27.61,26.63,25.40,24.66,24.48,24.86,25.27,25.25,24.33
"Ouham Pendé",24.52,23.95,26.07,27.22,26.56,25.31,24.08,23.41,23.01,23.03,23.72,24.31,23.75
Haute-Kotto,24.94,23.32,25.77,27.25,27.38,26.45,25.03,24.16,23.89,24.21,24.63,24.11,23.19
Sangha-Mbaéré,24.55,24.24,25.54,25.81,25.52,25.22,24.29,23.96,23.75,23.86,23.95,24.37,24.20
Kémo,25.64,25.23,27.35,27.89,27.33,26.29,25.21,24.63,24.35,24.48,24.82,25.26,25.00
Vakaga,26.96,24.27,26.99,29.74,30.56,29.88,27.62,26.22,25.51,25.98,26.89,25.56,24.31
Lobaye,24.97,24.65,26.26,26.56,26.16,25.67,24.65,24.29,24.05,24.02,24.16,24.73,24.61
Mambéré-Kadéï,24.48,24.38,25.85,26.06,25.58,25.03,24.01,23.67,23.51,23.52,23.75,24.41,24.12
Bangui,25.54,24.90,26.76,27.21,26.85,26.21,25.34,24.80,24.62,24.69,24.82,25.23,25.14
