Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Canada,-4.06,-21.30,-20.10,-14.95,-6.30,2.37,9.54,13.15,11.72,6.16,-1.62,-10.84,-17.62
"Northwest Territories / Territoires du Nord-Ouest",-7.61,-26.54,-25.17,-20.76,-10.43,0.31,9.21,12.54,10.25,3.84,-5.48,-17.03,-23.29
"Nova Scotia / Nouvelle-Écosse",6.49,-5.28,-5.31,-1.70,3.65,9.32,14.28,18.18,18.17,14.39,8.84,3.84,-1.33
Nunavut,-13.24,-30.59,-31.34,-28.03,-19.50,-8.30,2.25,7.46,5.54,-0.91,-10.19,-20.13,-26.39
Ontario,0.96,-17.77,-15.87,-8.85,-0.19,8.03,14.15,17.26,16.11,11.09,3.93,-4.42,-13.04
"Prince Edward Island / Île-du-Prince-Édouard",6.12,-7.07,-6.90,-2.87,2.77,9.23,14.91,19.09,18.92,14.70,8.74,3.43,-2.40
"Quebec / Québec",-2.01,-20.01,-19.38,-13.08,-4.45,3.81,10.27,13.97,13.06,8.22,1.97,-5.49,-14.11
Alberta,1.46,-14.49,-11.70,-6.10,2.55,9.04,13.50,16.00,14.71,9.64,2.70,-6.66,-12.55
Saskatchewan,0.67,-17.69,-15.19,-8.30,1.33,8.79,14.44,17.40,16.12,10.36,2.38,-7.42,-15.19
"British Columbia / Colombie-Britannique",1.96,-9.10,-7.25,-3.60,1.84,6.90,10.70,13.22,12.66,8.38,2.43,-4.80,-8.50
Yukon,-5.17,-23.29,-19.60,-14.52,-4.46,4.06,10.41,12.54,9.96,3.88,-4.98,-16.46,-20.47
Manitoba,-1.47,-21.25,-19.06,-11.82,-2.15,6.13,13.10,16.77,15.47,9.50,1.37,-9.01,-17.88
"New Brunswick / Nouveau-Brunswick",4.70,-10.31,-9.12,-3.91,2.87,9.88,15.15,18.55,17.72,13.12,6.88,0.66,-5.97
"Newfoundland and Labrador / Terre-Neuve-et-Labrador",-0.99,-16.14,-15.80,-10.49,-3.54,3.13,8.75,13.19,12.91,8.29,2.26,-4.21,-11.18
