Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Switzerland,6.51,-1.75,-1.30,1.88,5.49,9.50,13.23,15.20,14.92,11.31,7.35,2.49,-0.78
Schaffhausen,9.48,0.54,1.50,5.27,9.24,13.29,16.73,18.54,18.22,14.18,9.63,4.73,1.39
"Sankt Gallen",7.67,-0.80,-0.27,3.15,6.94,11.06,14.58,16.48,16.30,12.45,8.22,3.35,0.05
Obwalden,3.90,-3.76,-3.60,-0.81,2.44,6.38,10.11,12.18,11.93,8.59,5.10,0.31,-2.61
Nidwalden,4.07,-3.60,-3.44,-0.63,2.63,6.57,10.29,12.35,12.10,8.74,5.25,0.47,-2.47
"Appenzell Inner-rhoden",7.97,-0.58,-0.02,3.48,7.31,11.45,14.96,16.83,16.67,12.78,8.46,3.56,0.22
"Appenzell Ausser-rhoden",7.93,-0.64,-0.07,3.43,7.27,11.41,14.93,16.80,16.63,12.74,8.42,3.53,0.16
Aargau,9.59,0.56,1.64,5.38,9.43,13.28,16.91,18.69,18.15,14.29,9.91,4.99,1.37
Valais,3.36,-4.24,-4.30,-1.60,1.57,5.75,9.60,11.77,11.64,8.28,4.58,-0.21,-3.11
Uri,3.66,-3.67,-3.76,-1.09,2.00,5.96,9.69,11.75,11.59,8.29,4.96,0.26,-2.59
Ticino,7.17,-0.91,-0.70,2.42,5.84,9.98,13.75,16.05,15.69,11.96,8.01,3.19,0.18
Thurgau,9.67,0.64,1.58,5.36,9.44,13.56,17.05,18.85,18.58,14.44,9.76,4.90,1.39
Solothurn,9.24,0.08,1.30,4.92,9.11,12.83,16.58,18.29,17.75,14.13,9.75,4.76,0.87
Schwyz,7.69,-0.73,-0.12,3.28,6.99,10.93,14.50,16.43,16.11,12.30,8.26,3.47,0.29
Bern,6.93,-1.62,-0.93,2.37,6.16,10.06,13.87,15.73,15.34,11.82,7.77,2.81,-0.68
Basel-stadt,9.84,0.70,1.90,5.58,9.86,13.53,17.26,18.93,18.36,14.63,10.24,5.26,1.34
Basel-landschaft,9.49,0.30,1.55,5.20,9.41,13.12,16.87,18.56,18.02,14.35,9.94,4.95,1.07
Zurich,9.33,0.45,1.37,5.08,9.05,13.00,16.51,18.36,17.97,13.97,9.59,4.73,1.38
Zug,9.39,0.49,1.43,5.14,9.11,13.02,16.58,18.43,17.99,14.01,9.68,4.83,1.42
Vaud,7.84,-0.91,-0.15,3.30,7.08,11.03,14.93,16.80,16.52,12.84,8.55,3.54,0.02
Neuchatel,8.69,-0.31,0.65,4.30,8.28,12.05,15.92,17.62,17.32,13.65,9.38,4.30,0.56
Luzern,8.65,-0.17,0.75,4.33,8.25,12.13,15.81,17.63,17.13,13.38,9.15,4.23,0.69
Jura,8.80,-0.23,0.85,4.42,8.55,12.29,16.04,17.76,17.26,13.73,9.44,4.43,0.52
Graubunden,3.66,-3.68,-3.84,-1.28,1.90,6.05,9.73,11.84,11.75,8.34,4.98,0.27,-2.66
Glarus,5.86,-2.03,-1.82,1.21,4.66,8.72,12.31,14.30,14.16,10.54,6.80,2.01,-1.03
Geneve,9.40,0.57,1.52,4.89,8.73,12.71,16.60,18.57,18.22,14.40,9.80,4.97,1.36
Fribourg,8.04,-0.91,-0.07,3.55,7.51,11.36,15.29,17.03,16.68,13.02,8.79,3.75,-0.01
