Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Chile,9.49,13.79,13.48,12.19,9.76,7.46,5.53,5.02,5.95,7.59,9.35,11.16,12.79
"Los Lagos",8.85,13.33,13.11,11.51,9.12,7.01,5.30,4.58,5.41,6.57,8.32,10.01,12.19
Tarapaca,11.35,14.23,14.25,13.58,12.11,9.96,8.46,8.17,8.39,9.90,11.12,12.55,13.64
Valparaiso,11.91,16.95,16.38,15.37,12.36,9.69,7.57,7.15,7.87,9.44,11.17,13.62,15.65
"Magallanes y Antartica chilena",5.87,9.83,9.58,8.33,6.31,4.10,2.16,1.79,2.64,4.05,5.86,7.33,8.72
Maule,12.05,18.61,17.63,15.74,11.85,8.90,6.87,6.06,7.22,9.17,11.55,14.30,17.02
Metropolitana,10.28,16.19,15.32,14.12,10.72,7.66,5.29,4.67,5.60,7.35,9.59,12.33,14.80
Antofagasta,11.36,14.30,14.18,13.43,11.80,9.70,8.02,7.55,8.56,10.40,11.76,13.07,13.76
Araucania,10.81,16.74,16.05,14.02,10.60,8.07,6.37,5.56,6.49,8.12,10.29,12.65,15.10
Atacama,10.51,13.97,13.97,13.05,10.85,9.10,6.70,6.35,7.41,8.97,10.46,12.12,13.43
"Aisen del Gral. Carlos Ibañez del Campo",6.40,11.12,10.86,9.15,6.55,4.15,2.03,1.53,2.73,4.44,6.44,8.12,10.01
Biobio,12.23,18.66,17.68,15.64,12.09,9.25,7.48,6.63,7.55,9.41,11.66,14.16,16.89
Coquimbo,10.80,15.26,15.07,13.85,11.04,8.74,6.85,6.36,7.18,8.65,10.20,12.51,14.19
"Libertador Gral. Bernardo O'Higgins",11.74,17.82,16.92,15.42,11.76,8.83,6.84,6.11,7.27,8.94,11.14,13.82,16.33
"Arica y Painacota",8.80,11.44,11.56,11.06,9.83,7.61,5.92,5.73,5.84,7.38,8.65,9.92,10.87
"Los Rios",9.78,15.11,14.55,12.63,9.51,7.48,5.79,4.96,5.85,7.29,9.31,11.48,13.74
