Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
China,7.58,-7.14,-3.63,2.27,8.95,13.97,17.97,20.17,19.17,14.83,8.25,0.79,-5.31
"Hebei Sheng",10.30,-6.40,-2.55,4.19,11.92,18.22,22.47,24.49,23.06,18.09,11.12,2.48,-4.31
"Yunnan Sheng",16.01,9.04,11.01,13.99,17.04,19.43,20.77,20.83,20.64,19.50,16.75,13.08,9.80
"Heilongjiang Sheng",2.11,-20.61,-15.59,-6.24,4.93,12.65,18.39,21.44,19.56,13.05,3.85,-8.61,-18.62
"Henan Sheng",15.22,1.46,4.43,9.77,15.89,21.12,25.58,27.34,26.14,21.61,15.97,9.25,3.35
"Zhejiang Sheng",17.00,5.34,7.19,10.93,16.42,20.92,24.15,27.90,27.28,23.78,18.65,13.25,7.57
"Anhui Sheng",16.38,3.16,5.71,10.42,16.47,21.59,25.24,28.19,27.56,23.26,17.70,11.26,5.28
"Beijing Shi",11.04,-5.58,-1.77,4.80,12.74,19.10,23.25,25.46,23.91,18.90,11.66,2.92,-3.71
"Hubei Sheng",15.99,3.58,6.08,10.54,16.30,20.89,24.46,27.18,26.52,22.23,16.89,11.04,5.56
"Hunan Sheng",17.18,5.26,7.44,11.42,17.27,21.67,25.02,27.89,27.30,23.56,18.30,12.88,7.50
"Jiangsu Sheng",15.74,2.55,4.86,9.26,15.13,20.47,24.43,27.79,27.36,23.12,17.51,10.98,4.72
"Jiangxi Sheng",18.45,6.66,8.93,12.88,18.53,22.94,25.91,28.82,28.28,25.05,19.91,14.17,8.70
"Jilin Sheng",5.20,-15.61,-10.84,-2.34,7.33,14.47,19.48,22.51,21.26,15.01,6.74,-3.71,-12.90
"Liaoning Sheng",8.66,-9.76,-5.68,1.66,9.94,16.71,21.23,24.13,23.29,17.75,10.07,0.86,-7.18
"Nei Mongol Zizhiqu",4.60,-15.56,-10.88,-2.72,7.02,14.15,19.46,22.18,20.15,13.85,5.30,-5.23,-13.43
"Ningxia Huizu Zizhiqu",8.48,-6.83,-3.00,3.51,10.53,15.54,19.65,21.83,20.09,15.05,8.46,1.23,-4.98
"Qinghai Sheng",-1.68,-14.55,-10.96,-6.29,-0.82,3.67,7.55,9.97,9.27,5.24,-1.74,-8.79,-13.34
"Shaanxi Sheng",11.30,-2.45,0.95,6.56,12.64,17.34,21.48,23.46,22.30,17.25,11.46,4.83,-0.88
"Shandong Sheng",13.99,-0.84,2.10,7.82,14.36,20.18,24.48,26.66,25.93,21.54,15.53,7.93,1.38
"Chongqing Shi",16.04,5.03,7.24,11.46,16.56,20.16,23.08,25.97,25.91,21.70,16.49,11.56,6.72
"Shanghai Shi",16.73,4.67,6.22,9.84,15.18,20.18,23.90,28.23,28.00,24.43,19.11,13.33,6.96
"Fujian Sheng",18.93,9.47,11.03,14.13,18.56,22.17,24.89,27.22,26.71,24.66,20.62,15.95,11.24
"Shanxi Sheng",9.34,-6.28,-2.23,4.14,11.01,16.79,20.79,22.69,21.15,16.06,9.74,2.01,-4.55
"Gansu Sheng",5.85,-8.93,-5.00,1.05,7.76,12.52,16.57,18.71,17.52,12.48,5.66,-1.45,-7.37
"Sichuan Sheng",8.50,-1.29,1.13,4.82,8.96,12.53,15.19,16.93,16.59,13.68,9.07,4.13,-0.15
"Guangdong Sheng",21.62,13.01,14.53,17.49,21.75,25.15,27.15,28.13,27.91,26.57,23.45,19.20,14.72
"Guangxi Zhuangzu Zizhiqu",20.47,11.03,12.96,16.41,21.05,24.48,26.51,27.46,27.24,25.61,21.95,17.52,12.96
"Tianjin Shi",13.36,-2.85,0.61,7.09,14.73,20.91,25.01,27.03,26.02,21.54,14.40,5.86,-0.81
"Guizhou Sheng",15.50,5.23,7.33,11.55,16.40,19.59,21.99,23.97,23.60,20.77,16.22,11.72,7.09
"Xinjiang Uygur Zizhiqu",6.55,-11.64,-6.70,1.57,9.77,14.73,19.00,21.06,19.86,14.57,6.78,-1.88,-9.35
"Hainan Sheng",24.64,18.78,20.62,22.92,26.10,27.77,28.46,28.20,27.76,26.91,25.26,22.92,19.82
"Xizang Zizhiqu",-1.79,-12.89,-10.45,-6.53,-2.24,2.04,6.54,8.65,8.06,5.17,-1.41,-7.54,-11.42
