Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Cote d'Ivoire",26.81,26.27,28.28,29.09,28.58,27.64,26.42,25.35,25.13,25.66,26.35,26.91,26.16
Gôh-Djiboua,26.77,26.51,28.10,28.38,28.01,27.44,26.35,25.38,25.20,25.90,26.55,27.02,26.54
Zanzan,27.50,27.17,29.39,30.38,29.52,28.31,26.76,25.69,25.40,25.89,26.96,27.70,26.93
Denguele,26.31,24.55,27.34,29.11,29.16,27.95,26.41,25.33,24.99,25.36,25.44,25.87,24.39
"Vallee Du Bandama",27.30,27.22,29.12,29.91,29.05,27.85,26.69,25.49,25.37,25.87,26.76,27.49,26.98
"District autonome de Yamoussoukro",27.05,26.57,28.66,29.12,28.53,27.69,26.71,25.64,25.46,26.31,26.68,27.07,26.38
"District autonome de Abidjan",26.90,27.01,28.14,28.42,28.23,27.65,26.44,25.46,24.82,25.40,26.57,27.51,27.28
Savanes,27.24,26.27,28.84,30.27,29.79,28.36,26.77,25.60,25.37,25.73,26.69,27.23,26.19
Sassandra-Marahoue,26.67,26.22,28.25,28.73,28.04,27.30,26.39,25.24,25.20,25.85,26.31,26.71,25.96
Montagnes,25.53,24.59,26.51,27.38,26.96,26.37,25.54,24.45,24.39,24.91,25.32,25.52,24.58
Lagunes,27.13,27.07,28.52,28.77,28.49,27.88,26.68,25.70,25.23,25.84,26.80,27.58,27.16
Lacs,27.47,27.31,29.16,29.59,28.93,28.14,27.00,25.92,25.65,26.30,27.02,27.70,27.12
Comoe,27.01,27.00,28.50,28.71,28.36,27.71,26.49,25.61,25.12,25.75,26.66,27.39,26.96
"Bas Sassandra",26.17,26.10,27.25,27.69,27.42,26.74,25.75,24.83,24.68,25.26,25.86,26.37,26.16
Woroba,26.32,25.37,27.77,28.77,28.23,27.22,26.14,25.04,24.94,25.37,25.71,26.24,25.20
