Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cameroon,24.81,24.15,25.68,26.69,26.67,25.73,24.63,23.85,23.56,23.86,24.43,24.57,23.99
Littoral,26.22,26.94,27.73,27.55,27.20,26.71,25.81,24.77,24.53,25.10,25.55,26.40,26.56
Nord,26.42,24.18,26.83,29.89,30.30,28.36,26.46,25.24,24.75,24.95,26.16,25.69,24.32
"Nord - Ouest",22.04,22.03,23.39,23.94,24.37,22.46,21.48,20.72,20.57,20.73,21.50,21.85,21.52
Ouest,22.46,22.94,24.00,24.09,23.77,22.71,21.86,21.29,21.13,21.26,21.82,22.39,22.37
Sud,24.95,25.25,25.96,25.75,25.74,25.43,24.69,24.00,23.88,24.36,24.53,24.95,25.01
"Sud - Ouest",23.64,23.82,24.90,24.95,24.90,24.13,23.34,22.42,22.16,22.67,23.19,23.70,23.61
Adamaoua,23.39,22.62,24.24,25.66,25.22,24.04,23.07,22.57,22.35,22.39,23.03,23.07,22.47
Centre,24.85,25.29,26.38,26.36,25.77,25.09,24.31,23.91,23.66,23.88,24.13,24.83,24.74
Est,24.23,23.85,25.14,25.56,25.27,24.79,23.89,23.47,23.43,23.67,23.87,24.13,23.73
"Extrême - Nord",28.24,24.11,27.19,31.12,33.17,32.00,29.84,27.48,26.20,27.14,28.69,27.27,24.76
