Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Congo (Democratic Republic of the)",24.35,24.40,24.82,25.00,24.88,24.61,23.74,23.27,23.91,24.36,24.52,24.44,24.29
"Kasai Occidental",24.64,24.64,24.68,25.09,25.14,24.98,24.09,23.85,24.45,24.65,24.82,24.63,24.65
Equateur,25.25,25.23,25.92,26.12,25.92,25.72,25.12,24.63,24.66,24.80,24.81,25.02,25.15
Bas-Congo,24.39,25.28,25.56,25.87,25.74,25.13,22.87,21.65,22.13,23.57,24.81,25.05,25.06
Bandundu,25.05,25.05,25.29,25.54,25.46,25.41,24.58,24.38,24.95,25.19,25.03,24.78,24.98
Sud-Kivu,21.40,21.19,21.50,21.51,21.52,21.64,21.09,20.45,21.56,21.95,21.84,21.38,21.20
Orientale,24.74,24.98,25.79,25.82,25.56,25.11,24.43,23.79,23.82,24.13,24.32,24.74,24.53
Nord-Kivu,21.75,21.84,22.21,22.24,22.19,22.11,21.59,21.03,21.51,21.60,21.56,21.69,21.43
Maniema,24.51,24.24,24.59,24.80,24.92,25.05,24.52,23.76,24.34,24.63,24.55,24.44,24.30
Kinshasa,24.63,25.06,25.24,25.59,25.46,25.25,23.60,22.81,23.64,24.69,24.88,24.58,24.77
Katanga,23.14,23.21,23.35,23.52,23.40,22.79,21.43,21.15,23.00,24.07,24.61,23.89,23.30
"Kasai Oriental",24.90,24.74,24.90,25.27,25.33,25.42,24.72,24.24,24.70,24.97,24.94,24.89,24.77
