Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Congo (Republic of the)",24.74,24.96,25.46,25.78,25.72,25.40,24.15,23.60,23.76,24.27,24.53,24.58,24.71
Bouenza,24.45,25.18,25.70,25.97,25.96,25.26,22.91,21.95,22.38,23.63,24.76,24.96,24.85
Cuvette,25.45,25.59,25.91,26.31,26.18,26.06,25.24,24.89,25.03,25.00,24.99,24.90,25.27
Cuvette-Ouest,24.41,24.60,25.00,25.39,25.34,25.02,23.98,23.35,23.57,24.05,24.20,24.05,24.43
Lekoumou,23.86,24.50,24.84,25.12,25.18,24.57,22.70,21.97,22.26,23.24,24.04,24.04,23.96
Likouala,25.07,24.93,25.81,26.06,25.88,25.72,24.96,24.53,24.43,24.51,24.47,24.74,24.89
Niari,24.41,25.27,25.58,25.75,25.86,25.09,23.03,22.27,22.36,23.60,24.71,24.82,24.70
Plateaux,24.72,24.94,25.18,25.53,25.53,25.26,24.27,23.93,24.24,24.58,24.43,24.32,24.52
Point-Noire,25.37,26.55,26.95,27.10,27.14,26.27,23.64,22.55,22.47,24.06,25.50,26.19,26.21
Kouilou,25.16,26.17,26.62,26.81,26.89,26.02,23.49,22.56,22.51,23.98,25.32,25.87,25.77
Sangha,24.82,24.65,25.37,25.77,25.70,25.55,24.56,24.08,24.04,24.38,24.48,24.56,24.70
Brazzaville,24.95,25.52,25.76,26.15,25.93,25.70,23.57,22.70,23.58,24.94,25.35,25.10,25.18
Pool,24.12,24.56,24.87,25.24,25.13,24.78,23.00,22.32,22.97,23.99,24.31,24.14,24.15
