Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Colombia,25.00,25.17,25.44,25.55,25.36,24.92,24.59,24.40,24.63,24.93,25.00,25.02,25.05
Guajira,27.09,25.81,25.99,26.62,26.99,27.47,28.07,28.31,28.26,27.72,27.04,26.50,26.17
Guaviare,26.06,26.70,26.72,26.98,26.52,25.84,25.33,24.74,25.03,25.85,26.28,26.38,26.44
Huila,19.75,19.77,19.95,19.83,19.91,19.80,19.64,19.41,19.70,19.94,19.90,19.54,19.61
Magdalena,26.65,26.15,26.66,27.15,27.36,26.93,26.86,27.03,26.90,26.46,26.05,26.11,26.18
Meta,25.46,26.00,26.32,26.42,25.88,25.22,24.68,24.34,24.72,25.25,25.55,25.61,25.58
Narino,21.32,21.17,21.41,21.53,21.64,21.54,21.36,21.26,21.24,21.31,21.22,21.09,21.10
Amazonas,26.59,26.90,26.85,26.93,26.72,26.40,25.93,25.57,26.07,26.72,27.01,27.03,26.99
"Norte De Santander",21.87,21.02,21.39,21.94,22.25,22.25,22.14,22.10,22.33,22.14,21.91,21.56,21.33
Antioquia,23.32,23.14,23.41,23.51,23.67,23.41,23.44,23.51,23.39,23.21,23.02,23.07,23.11
Putumayo,24.28,24.79,24.68,24.38,24.37,24.05,23.72,23.39,23.68,24.20,24.65,24.79,24.72
Arauca,26.20,26.20,26.91,27.35,26.92,25.92,25.45,25.31,25.72,26.14,26.23,26.31,26.06
Quindio,18.11,18.12,18.35,18.33,18.37,18.10,18.02,18.07,18.20,18.17,17.81,17.80,17.99
Atlantico,28.50,27.82,28.13,28.43,28.99,28.93,28.92,28.83,28.89,28.60,28.22,28.15,28.06
Risaralda,21.00,20.99,21.24,21.27,21.25,21.00,20.95,21.06,21.09,21.01,20.69,20.59,20.85
Bolivar,27.43,27.08,27.61,27.96,28.06,27.58,27.50,27.67,27.60,27.23,26.85,26.90,27.11
Boyaca,16.98,17.01,17.34,17.49,17.41,17.05,16.60,16.27,17.04,16.74,16.94,17.01,16.96
"San Andres Y Providencia",27.75,26.77,27.01,27.79,28.40,28.55,28.21,28.28,28.21,28.06,27.61,27.14,26.97
Santander,22.98,22.92,23.25,23.30,23.29,23.07,22.92,22.92,23.02,22.95,22.68,22.65,22.86
Buenaventura,19.59,19.50,19.70,19.69,19.81,19.80,19.61,19.51,19.67,19.69,19.43,19.29,19.41
Sucre,28.20,28.03,28.62,29.01,29.05,28.28,28.06,28.27,28.19,27.82,27.48,27.61,28.03
Caldas,19.95,19.85,20.09,20.09,20.16,20.02,20.04,20.07,20.13,20.02,19.64,19.60,19.74
Tolima,20.15,20.09,20.30,20.27,20.22,20.11,20.11,20.24,20.52,20.47,19.85,19.74,19.87
Caqueta,25.49,26.00,25.98,25.92,25.69,25.33,24.80,24.33,24.71,25.43,25.83,25.97,25.94
"Valle Del Cauca",21.81,21.79,22.04,22.04,22.07,21.90,21.85,21.83,21.91,21.89,21.46,21.37,21.66
Casanare,26.70,27.02,27.81,27.94,27.27,26.36,25.78,25.61,26.03,26.49,26.67,26.80,26.74
Vaupes,26.18,26.75,26.61,26.77,26.52,25.96,25.61,25.02,25.27,26.14,26.51,26.46,26.59
Cauca,19.59,19.50,19.70,19.69,19.81,19.80,19.61,19.51,19.67,19.69,19.43,19.29,19.41
Vichada,28.04,28.57,29.24,29.27,28.60,27.66,26.99,26.87,27.17,27.75,27.94,28.22,28.29
Cesar,26.16,25.64,26.13,26.70,26.80,26.39,26.38,26.65,26.46,25.98,25.59,25.57,25.64
Choco,26.40,26.23,26.56,26.73,26.96,26.80,26.70,26.47,26.35,26.19,25.89,25.80,26.11
Cordoba,26.92,26.78,27.10,27.29,27.52,27.01,26.88,27.03,26.83,26.65,26.60,26.53,26.88
Cundinamarca,18.51,18.51,18.82,18.84,18.87,18.62,18.31,18.15,18.45,18.48,18.40,18.38,18.36
Guainia,27.06,27.56,27.95,27.83,27.38,26.76,26.30,26.02,26.29,26.89,27.22,27.30,27.31
