Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Cape Verde",23.19,21.38,20.86,21.11,21.45,22.07,23.22,24.36,25.18,25.78,25.37,24.34,22.93
"Sao Nicolau",22.98,21.03,20.55,20.87,21.36,22.02,23.04,24.13,25.13,25.74,25.25,23.99,22.51
Cima,23.81,22.22,21.64,21.90,22.25,22.81,23.66,24.71,25.83,26.32,25.83,24.87,23.50
"Sao Vicente",22.76,20.78,20.42,20.70,21.21,21.90,22.92,23.89,24.86,25.43,24.91,23.71,22.21
Fogo,19.40,17.57,16.90,17.08,17.50,18.30,19.67,20.92,21.79,22.03,21.47,20.35,19.06
"Ilheu Branco",23.41,21.46,21.09,21.34,21.82,22.50,23.52,24.49,25.49,26.10,25.60,24.40,22.91
"Ilheu Raso",23.41,21.46,21.09,21.34,21.82,22.50,23.52,24.49,25.49,26.10,25.60,24.40,22.91
Maio,24.26,22.43,21.87,22.23,22.57,22.98,24.24,25.32,26.23,26.84,26.61,25.52,24.11
Rombo,23.81,22.22,21.64,21.90,22.25,22.81,23.66,24.71,25.83,26.32,25.83,24.87,23.50
Sal,24.35,22.31,21.83,22.31,22.70,23.21,24.19,25.32,26.54,27.26,26.82,25.49,24.10
"Santa Luzia",23.41,21.46,21.09,21.34,21.82,22.50,23.52,24.49,25.49,26.10,25.60,24.40,22.91
Santiago,23.30,21.49,20.98,21.24,21.57,22.18,23.31,24.45,25.28,25.88,25.48,24.44,23.04
"Boa Vista",23.83,21.84,21.38,21.73,22.06,22.60,23.71,25.01,26.01,26.64,26.31,25.01,23.60
"Santo Antao",20.83,18.74,18.41,18.83,19.34,20.11,21.13,22.09,23.08,23.42,22.88,21.67,20.14
Brava,23.81,22.22,21.64,21.90,22.25,22.81,23.66,24.71,25.83,26.32,25.83,24.87,23.50
