Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cuba,25.80,22.88,23.40,24.29,25.45,26.62,27.59,27.94,28.00,27.56,26.72,25.13,23.87
Cienfuegos,25.32,22.14,22.67,23.62,25.05,26.42,27.29,27.63,27.60,27.20,26.35,24.52,23.17
"Santiago De Cuba",25.71,23.39,23.73,24.41,25.24,26.08,27.15,27.49,27.61,27.17,26.60,25.38,24.17
"Ciego De Avila",25.84,22.67,23.38,24.13,25.36,26.64,27.78,28.18,28.21,27.72,26.85,25.20,23.85
"Sancti Spiritus",25.56,22.56,23.06,24.01,25.23,26.50,27.40,27.71,27.76,27.33,26.51,24.74,23.74
"Pinar Del Rio",25.70,22.48,23.15,24.17,25.66,26.78,27.53,27.97,28.04,27.63,26.63,24.72,23.50
Matanzas,25.27,21.77,22.46,23.62,24.94,26.49,27.41,27.65,27.66,27.32,26.29,24.44,23.04
"Las Tunas",26.65,24.09,24.50,25.31,26.28,27.30,28.26,28.64,28.69,28.18,27.49,26.12,24.85
"La Habana",25.29,21.70,22.41,23.52,24.93,26.56,27.49,27.76,27.78,27.37,26.25,24.43,23.06
"Isla De La Juventud",26.36,23.22,23.75,24.85,26.10,27.50,28.30,28.59,28.53,28.13,27.34,25.56,24.33
Holguin,26.30,23.84,24.17,24.86,25.75,26.78,27.89,28.24,28.32,27.88,27.17,25.85,24.70
Guantanamo,25.42,23.24,23.36,23.91,24.80,25.72,26.86,27.27,27.35,26.90,26.24,25.19,24.06
Granma,26.03,23.48,24.04,24.79,25.70,26.58,27.59,27.80,27.93,27.44,26.83,25.61,24.40
"Ciudad De La Habana",25.40,21.93,22.69,23.60,25.06,26.55,27.49,27.83,27.91,27.52,26.37,24.45,23.22
"Villa Clara",25.29,22.04,22.61,23.61,25.05,26.33,27.35,27.65,27.71,27.27,26.27,24.37,22.98
Camaguey,26.38,23.64,24.11,24.94,26.04,27.05,28.02,28.50,28.59,28.11,27.26,25.69,24.41
