Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Germany,9.60,0.85,1.72,4.91,9.33,13.31,16.58,18.61,18.40,14.39,9.74,5.06,1.73
Niedersachsen,9.92,2.02,2.55,5.19,9.34,13.09,16.14,18.35,18.24,14.64,10.23,5.89,2.82
Mecklenburg-Vorpommern,9.52,1.14,1.84,4.17,8.73,12.82,16.20,18.45,18.34,14.61,9.85,5.39,2.21
Hessen,9.65,0.92,1.89,5.10,9.67,13.38,16.70,18.58,18.31,14.38,9.76,5.00,1.57
Hamburg,9.74,1.86,2.39,4.79,9.06,12.78,15.87,18.19,18.13,14.56,10.15,5.82,2.76
Bremen,10.02,2.23,2.61,5.33,9.33,13.11,16.10,18.37,18.23,14.75,10.44,6.10,3.12
Thueringen,8.84,0.08,0.79,3.89,8.64,12.64,15.88,17.98,17.81,13.74,8.95,4.24,0.91
Brandenburg,10.00,0.69,1.75,4.84,9.96,14.16,17.40,19.57,19.22,14.91,9.93,5.22,1.78
Schleswig-Holstein,9.55,1.88,2.24,4.44,8.51,12.35,15.51,17.86,17.84,14.48,10.15,5.89,2.89
Berlin,10.18,0.91,1.97,5.03,10.19,14.47,17.65,19.79,19.39,15.01,10.02,5.26,1.94
Sachsen-Anhalt,9.80,1.17,2.07,4.64,9.62,13.55,16.94,18.99,18.71,14.65,9.66,5.27,1.80
Sachsen,9.20,-0.10,0.90,4.14,9.13,13.42,16.64,18.75,18.46,14.07,9.16,4.32,0.95
Bayern,8.94,-0.63,0.49,4.47,8.94,13.13,16.57,18.42,18.21,13.76,8.97,3.99,0.34
Baden-Wuerttemberg,9.61,0.50,1.50,5.34,9.50,13.50,16.97,18.79,18.52,14.35,9.70,4.77,1.36
Saarland,10.16,1.55,2.57,6.07,10.12,13.75,17.09,18.91,18.51,14.91,10.39,5.57,1.97
Rheinland-Pfalz,10.15,1.58,2.52,5.97,9.99,13.77,17.03,18.90,18.62,14.83,10.31,5.54,2.29
Nordrhein-Westfalen,10.23,2.31,2.98,5.99,9.74,13.50,16.44,18.51,18.35,14.74,10.57,6.09,3.10
