Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Dominica,26.83,25.39,25.29,25.77,26.49,27.44,27.80,27.85,28.02,27.91,27.13,26.80,26.04
"St. Peter",26.76,25.33,25.29,25.67,26.44,27.35,27.65,27.90,27.98,27.77,26.98,26.75,25.99
"St. Paul",26.87,25.42,25.29,25.83,26.51,27.49,27.88,27.82,28.05,28.00,27.21,26.83,26.06
"St. Patrick",26.87,25.42,25.29,25.83,26.51,27.49,27.88,27.82,28.05,28.00,27.21,26.83,26.06
"St. Mark",26.87,25.42,25.29,25.83,26.51,27.49,27.88,27.82,28.05,28.00,27.21,26.83,26.06
"St. Luke",26.87,25.42,25.29,25.83,26.51,27.49,27.88,27.82,28.05,28.00,27.21,26.83,26.06
"St. Joseph",26.87,25.41,25.29,25.82,26.51,27.49,27.87,27.83,28.05,27.99,27.21,26.82,26.06
"St. John",26.73,25.31,25.29,25.62,26.42,27.30,27.58,27.93,27.95,27.70,26.91,26.72,25.97
"St. George",26.87,25.42,25.29,25.83,26.51,27.49,27.88,27.82,28.05,28.00,27.21,26.83,26.06
"St. David",26.87,25.41,25.29,25.82,26.51,27.49,27.87,27.83,28.04,27.99,27.20,26.82,26.06
"St. Andrew",26.74,25.32,25.29,25.64,26.43,27.32,27.61,27.92,27.96,27.73,26.94,26.73,25.98
