Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Dominican Republic",24.51,22.49,22.84,23.49,24.27,25.01,25.81,25.90,26.10,25.82,25.21,24.09,22.94
"Maria Trinidad Sanches",25.81,23.92,24.25,24.79,25.43,26.30,27.19,27.04,27.20,27.10,26.66,25.42,24.34
"La Vega",21.92,19.69,20.09,20.85,21.72,22.54,23.33,23.35,23.59,23.38,22.66,21.45,20.23
"Elias Pina",23.61,21.53,22.08,22.79,23.56,24.12,24.92,24.98,25.15,24.80,24.22,23.07,21.99
"La Altagracia",26.62,24.67,24.80,25.40,26.15,27.03,27.88,28.13,28.38,27.99,27.35,26.27,25.24
Independencia,23.37,21.43,21.88,22.48,23.27,23.83,24.53,24.67,24.86,24.57,23.91,22.98,21.90
Espaillat,24.92,22.83,23.11,23.70,24.45,25.41,26.56,26.36,26.54,26.41,25.86,24.42,23.24
"El Seibo",26.24,24.37,24.54,25.07,25.78,26.67,27.52,27.70,27.88,27.53,27.01,25.91,24.83
Duarte,25.80,23.71,24.06,24.75,25.50,26.33,27.27,27.06,27.28,27.22,26.71,25.39,24.15
"Santo Domingo",25.84,23.98,24.23,24.86,25.59,26.34,27.08,27.10,27.24,27.02,26.54,25.60,24.41
Valverde,25.57,23.25,23.72,24.32,25.14,26.12,27.20,27.21,27.50,27.17,26.50,24.91,23.62
Dajabon,25.14,23.04,23.50,24.17,24.90,25.59,26.54,26.61,26.84,26.42,25.87,24.62,23.54
"Santiago Rodriguez",21.99,19.77,20.29,21.04,21.84,22.57,23.38,23.50,23.73,23.33,22.74,21.35,20.21
"La Romana",26.59,24.63,24.79,25.37,26.14,26.99,27.84,28.09,28.31,27.93,27.33,26.26,25.22
Barahona,24.93,23.14,23.50,24.10,24.87,25.29,25.86,26.13,26.37,26.06,25.46,24.70,23.59
Santiago,22.68,20.38,20.82,21.57,22.42,23.28,24.18,24.23,24.46,24.20,23.50,22.11,20.90
"Sanchez Ramirez",25.21,23.18,23.48,24.20,24.94,25.72,26.62,26.49,26.68,26.57,26.05,24.86,23.57
"San Pedro de Macoris",26.31,24.47,24.66,25.16,25.90,26.71,27.54,27.69,27.86,27.56,27.07,26.06,24.93
"San Juan",22.61,20.37,21.00,21.85,22.77,23.32,23.95,24.01,24.16,23.84,23.12,22.01,20.82
"Distrito Nacional",26.41,24.66,24.83,25.31,26.10,26.83,27.56,27.67,27.80,27.58,27.11,26.25,25.18
"San Cristobal",24.80,23.09,23.29,23.89,24.60,25.22,25.83,26.06,26.24,25.98,25.42,24.57,23.38
Samana,25.92,24.13,24.44,24.88,25.53,26.43,27.22,27.18,27.27,27.09,26.72,25.53,24.55
Salcedo,25.60,23.44,23.75,24.48,25.26,26.10,27.20,26.93,27.16,27.11,26.56,25.16,23.88
"Puerto Plata",25.59,23.31,23.67,24.22,25.03,26.08,27.31,27.25,27.49,27.25,26.61,25.02,23.73
Peravia,25.70,24.11,24.31,24.82,25.53,26.03,26.47,26.94,27.16,26.85,26.17,25.50,24.47
Pedernales,24.50,22.63,22.95,23.50,24.24,24.85,25.56,25.85,26.16,25.78,25.08,24.18,23.15
"Monte Cristi",26.75,24.49,24.93,25.55,26.32,27.27,28.37,28.44,28.72,28.29,27.62,26.07,24.81
"Hato Mayor",26.10,24.25,24.48,24.97,25.67,26.56,27.38,27.49,27.62,27.34,26.88,25.76,24.67
"Monsenor Nouel",23.56,21.62,21.89,22.59,23.35,24.08,24.85,24.86,25.03,24.84,24.30,23.25,21.96
Baoruco,23.73,21.67,22.21,22.96,23.84,24.31,24.91,25.03,25.20,24.90,24.21,23.28,22.11
"Monte Plata",25.91,24.00,24.29,24.96,25.66,26.45,27.19,27.17,27.31,27.09,26.63,25.62,24.41
Azua,22.04,20.08,20.47,21.13,21.99,22.57,23.13,23.36,23.59,23.25,22.53,21.69,20.59
"San José de Ocoa",22.03,20.11,20.41,21.09,21.87,22.57,23.21,23.33,23.52,23.25,22.67,21.72,20.51
