Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Algeria,23.61,12.50,15.14,19.02,23.14,27.63,32.00,33.56,33.04,29.91,24.78,18.37,13.72
M'Sila,17.32,7.45,8.40,11.63,15.06,19.55,25.34,28.67,28.18,23.48,18.27,12.39,8.78
Naama,17.19,6.64,8.56,11.99,15.14,19.32,25.46,28.54,28.38,23.47,17.98,11.99,8.23
Blida,17.29,9.17,9.81,12.25,14.55,18.39,23.07,26.55,26.81,23.05,18.83,13.86,10.56
Oran,18.39,10.95,11.86,14.06,16.19,19.38,23.35,26.21,26.89,23.70,20.05,15.37,12.24
"Bordj Bou Arrer",16.06,6.78,7.28,10.33,13.41,17.57,23.55,26.82,26.52,22.31,17.54,11.80,8.13
Ouargla,23.25,11.16,13.64,17.71,22.47,27.36,32.88,34.52,34.40,30.17,24.42,17.29,12.39
Bouira,15.98,7.31,7.83,10.57,13.30,17.30,22.66,25.95,25.91,21.99,17.48,12.19,8.74
"Oum El Bouaghi",15.44,6.16,6.90,9.57,12.96,17.44,23.01,26.20,25.89,21.52,16.63,10.95,7.44
Boumerdes,17.61,10.13,10.50,12.76,14.97,18.42,22.79,25.86,26.27,23.25,19.52,14.79,11.58
Relizane,18.64,9.70,10.98,13.50,15.98,19.98,25.08,28.52,28.98,24.68,19.98,14.70,11.08
Chlef,18.53,9.65,10.74,13.21,15.74,19.90,24.96,28.71,28.95,24.66,19.97,14.40,10.94
Saida,16.32,6.59,8.09,10.87,13.71,17.81,23.61,27.02,27.31,22.56,17.43,11.83,8.41
Constantine,15.83,7.27,7.73,10.20,13.21,17.32,22.45,25.81,25.79,21.78,17.36,11.97,8.50
Setif,15.73,6.35,6.93,9.83,13.09,17.40,23.42,26.73,26.35,21.96,17.20,11.30,7.60
Djelfa,17.71,7.34,8.66,12.05,15.66,20.51,26.12,29.55,29.05,23.85,18.28,12.23,8.56
"Sidi Bel Abbes",16.49,7.39,8.73,11.44,13.98,17.75,23.17,26.38,26.76,22.47,17.76,12.45,9.07
"El Bayadh",19.17,7.71,9.96,13.66,17.50,22.24,28.37,31.16,30.82,25.75,19.76,13.18,9.32
Skikda,17.44,10.23,10.37,12.39,14.89,18.28,22.38,25.45,25.91,22.97,19.57,14.85,11.49
"El Oued",22.61,11.37,13.40,17.08,21.36,26.03,31.42,33.79,33.72,29.32,23.80,17.02,12.43
El-Tarf,17.87,10.42,10.58,12.61,15.22,18.80,23.12,26.06,26.50,23.69,20.07,15.13,11.69
Souk-Ahras,16.00,7.37,7.89,10.27,13.34,17.59,22.74,25.78,25.77,22.05,17.64,12.24,8.73
Tamanrasset,25.60,15.16,17.99,21.83,26.13,30.24,33.53,33.58,32.79,31.33,26.91,20.94,16.36
Ghardaia,21.85,9.93,12.40,16.27,20.71,25.88,31.46,33.67,33.29,28.66,22.55,15.56,11.21
