Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Egypt,23.14,13.71,15.21,18.73,23.23,27.10,29.63,30.53,30.58,28.67,25.12,19.52,15.13
Giza,21.75,12.65,13.91,17.15,21.42,25.26,28.04,29.18,29.24,27.27,23.79,18.52,14.04
Ismailia,21.95,13.91,14.89,17.40,20.89,24.12,27.01,28.88,28.97,27.28,24.20,19.88,15.56
"Kafr El-Shikh",20.94,13.88,14.24,16.34,19.16,22.50,25.56,27.11,27.35,26.03,23.56,19.52,15.62
Kalyoubia,22.16,14.09,15.15,17.76,21.42,24.80,27.48,28.71,28.71,27.39,24.54,19.90,15.60
Luxor,24.89,14.80,16.51,20.56,25.29,29.44,31.93,32.61,32.52,30.62,26.85,20.81,16.25
Matrouh,21.25,12.97,13.98,16.80,20.36,23.74,26.95,28.27,28.59,26.72,23.37,18.49,14.26
Menia,21.89,12.44,13.81,17.28,21.82,25.98,28.49,29.44,29.39,27.39,23.88,18.40,13.83
Menoufia,21.58,13.55,14.48,16.98,20.61,24.12,27.00,28.23,28.26,26.79,24.03,19.36,15.15
Damietta,21.14,14.00,14.48,16.74,19.28,22.46,25.54,27.23,27.56,26.24,23.77,19.92,16.01
Fayoum,22.20,13.14,14.44,17.61,21.81,25.63,28.33,29.49,29.42,27.74,24.45,19.18,14.72
Gharbia,21.24,13.68,14.31,16.62,19.86,23.31,26.31,27.71,27.79,26.33,23.79,19.43,15.30
"Port Said",21.78,14.44,15.06,17.29,20.05,23.03,26.14,28.12,28.42,27.10,24.47,20.55,16.26
Qena,24.26,14.75,16.25,19.93,24.34,28.46,30.82,31.62,31.65,29.72,26.20,20.58,16.28
Alexandria,20.84,13.60,14.15,16.21,19.30,22.39,25.37,27.15,27.53,26.20,23.34,19.23,15.23
"Red Sea",24.44,16.28,17.45,20.23,24.24,27.59,29.97,30.98,31.26,29.37,26.46,21.31,17.73
Assiut,21.94,12.37,13.83,17.35,22.06,26.43,28.63,29.51,29.35,27.22,23.75,18.36,13.92
Shrkia,21.86,14.00,14.90,17.40,20.75,23.99,26.87,28.46,28.53,27.05,24.26,19.93,15.70
Aswan,26.59,16.61,18.48,22.35,27.24,31.13,33.32,33.83,33.90,32.17,28.88,22.59,18.10
"South Sinai",20.64,11.73,12.72,16.00,19.98,23.92,26.33,28.13,28.25,26.40,22.52,17.61,13.60
Behera,21.14,13.43,14.19,16.49,19.85,23.25,26.21,27.69,27.88,26.44,23.57,19.14,15.05
Suez,21.21,12.64,13.77,16.63,20.45,24.19,26.82,28.42,28.45,26.53,23.28,18.54,14.28
"Beni Suef",21.89,12.62,13.95,17.27,21.61,25.64,28.23,29.37,29.23,27.38,23.98,18.65,14.20
Suhag,23.22,13.52,15.04,18.68,23.46,27.86,30.03,30.78,30.56,28.36,25.06,19.59,15.15
Cairo,21.80,13.30,14.50,17.36,21.20,24.84,27.39,28.70,28.67,27.02,24.06,19.28,14.89
Dakahlia,21.17,13.90,14.40,16.69,19.50,22.80,25.85,27.41,27.62,26.26,23.76,19.73,15.70
"New Valley",23.78,13.34,15.23,19.42,24.58,28.79,31.12,31.65,31.53,29.54,25.60,19.39,14.68
"North Sinai",20.71,12.39,13.38,16.07,19.73,23.11,25.74,27.86,27.97,26.21,23.04,18.37,14.18
