Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Spain,14.01,6.26,7.17,9.79,11.82,15.54,19.95,23.06,23.09,19.46,14.83,9.74,6.95
Cataluña/Catalunya,13.35,5.89,6.40,9.10,11.05,14.82,19.12,22.09,22.16,18.69,14.41,9.39,6.60
"Castilla-La Mancha",13.98,5.40,6.45,9.25,11.64,15.81,20.78,24.47,24.27,19.82,14.45,8.89,5.93
"La Rioja",11.67,3.88,4.81,7.63,9.44,13.24,17.50,20.56,20.68,17.17,12.54,7.39,4.72
"Castilla y León",11.88,4.07,5.17,7.81,9.72,13.46,17.89,20.91,20.86,17.38,12.61,7.49,4.72
"País Vasco/Euskadi",13.04,6.56,7.14,9.49,10.99,14.20,17.66,19.98,20.35,17.91,14.46,9.83,7.44
Cantabria,12.25,6.32,6.84,8.70,10.39,13.14,16.43,18.76,19.25,16.79,13.50,9.36,7.15
"Comunidad Foral de Navarra",12.89,5.29,6.31,9.01,10.76,14.46,18.49,21.22,21.38,18.20,14.02,8.87,6.14
Canarias,18.74,15.07,15.16,16.17,17.05,18.39,20.30,22.20,22.93,22.06,20.60,18.29,16.41
"Región de Murcia",16.29,8.47,9.29,11.78,13.92,17.52,22.10,25.37,25.55,21.83,17.35,12.36,9.46
"Ciudad Autónoma de Melilla",18.83,12.46,12.97,14.98,16.50,19.24,22.98,25.68,26.39,23.55,20.37,16.33,14.02
"Illes Balears",16.91,10.23,9.99,11.92,13.88,17.52,21.77,24.89,25.39,22.23,18.78,14.24,11.49
"Comunidad de Madrid",13.83,5.37,6.44,9.27,11.51,15.66,20.59,24.15,23.92,19.57,14.26,8.74,5.88
"Principado de Asturias",11.74,5.85,6.46,8.43,9.71,12.58,16.13,18.25,18.67,16.24,12.69,8.89,6.65
Aragón,12.84,4.61,5.59,8.56,10.75,14.76,19.29,22.43,22.27,18.35,13.58,8.20,5.14
Galicia,12.75,6.89,7.54,9.65,10.94,13.64,17.19,19.14,19.42,17.11,13.66,9.79,7.68
Andalucía,16.44,8.55,9.49,12.06,14.17,17.91,22.28,25.63,25.73,22.01,17.33,12.22,9.39
Extremadura,16.23,8.09,9.16,11.87,14.09,17.89,22.54,25.69,25.74,21.98,17.04,11.55,8.60
"Comunitat Valenciana",15.57,8.07,8.72,11.20,13.28,16.93,21.35,24.35,24.52,20.86,16.52,11.65,8.84
"Ciudad Autónoma de Ceuta",18.13,12.49,12.94,14.67,15.98,18.55,21.83,24.13,24.72,22.29,19.52,16.03,13.99
