Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Estonia,6.33,-3.93,-4.36,-0.89,5.27,10.82,14.82,17.82,16.89,12.21,6.46,1.75,-1.70
"Põlva maakond",6.17,-4.86,-4.88,-0.80,6.01,11.66,15.28,17.98,16.81,11.93,6.05,0.94,-2.77
"Lääne-Viru maakond",5.82,-4.65,-5.22,-1.68,4.69,10.35,14.54,17.58,16.53,11.83,5.97,1.24,-2.15
"Jõgeva maakond",6.05,-4.59,-4.90,-1.24,5.29,10.91,14.82,17.77,16.68,11.95,6.08,1.25,-2.18
"Administrative unit not available",6.18,-4.80,-4.92,-1.01,5.71,11.33,15.17,18.02,16.85,12.03,6.19,1.21,-2.40
"Järva maakond",6.14,-4.18,-4.69,-1.16,5.10,10.75,14.71,17.77,16.73,12.02,6.20,1.53,-1.90
"Võru maakond",6.14,-4.84,-4.83,-0.76,6.05,11.69,15.23,17.90,16.73,11.86,5.96,0.84,-2.93
"Ida-Viru maakond",5.83,-4.97,-5.37,-1.56,4.87,10.53,14.69,17.73,16.61,11.86,5.99,1.11,-2.33
"Viljandi maakond",6.32,-4.13,-4.36,-0.80,5.51,11.12,14.87,17.82,16.91,12.20,6.36,1.60,-2.02
"Hiiu maakond",7.22,-0.97,-1.99,-0.07,4.43,9.22,13.88,17.60,17.34,13.23,7.99,4.05,1.23
"Valga maakond",6.36,-4.37,-4.36,-0.55,6.00,11.57,15.08,17.91,16.89,12.10,6.32,1.41,-2.38
"Harju maakond",6.26,-3.60,-4.35,-1.05,4.87,10.42,14.62,17.70,16.77,12.09,6.37,1.82,-1.34
"Tartu maakond",6.17,-4.68,-4.76,-0.86,5.78,11.40,15.05,17.88,16.78,11.97,6.13,1.15,-2.48
"Saare maakond",7.33,-0.91,-1.85,0.23,4.75,9.44,14.04,17.53,17.39,13.26,8.10,4.09,1.18
"Rapla maakond",6.50,-3.40,-4.05,-0.79,5.15,10.73,14.87,17.92,17.04,12.35,6.66,2.10,-1.27
"Pärnu maakond",6.73,-3.25,-3.76,-0.56,5.35,10.98,15.05,18.05,17.27,12.65,6.96,2.41,-1.15
"Lääne maakond",6.76,-2.52,-3.37,-0.57,4.81,10.13,14.54,17.80,17.20,12.69,7.17,2.86,-0.28
