Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ethiopia,23.37,22.08,23.43,24.54,25.00,24.69,24.15,23.34,23.06,23.44,22.91,22.21,21.65
Afar,27.71,24.07,25.38,26.86,28.58,29.73,31.03,30.73,29.83,29.03,27.32,25.65,24.22
"Addis Ababa",16.98,15.81,17.47,18.43,18.78,18.66,17.71,16.97,16.56,16.75,16.15,15.36,15.16
Oromia,20.71,20.13,21.41,22.21,22.28,21.68,20.94,20.18,20.01,20.51,20.19,19.64,19.43
Tigray,22.81,20.34,21.97,23.40,24.94,25.40,24.94,23.15,22.39,22.68,22.45,21.62,20.43
SNNPR,21.84,21.73,22.92,23.48,23.26,22.34,21.47,20.98,21.04,21.55,21.46,21.08,20.88
Somali,26.24,24.81,25.99,27.17,27.43,27.27,27.09,26.48,26.41,27.02,25.87,24.94,24.45
Hareri,20.58,18.02,19.47,20.98,21.83,22.71,22.89,21.99,21.44,21.71,20.02,18.43,17.46
Gambela,27.49,27.28,28.78,29.87,29.79,28.23,26.73,26.04,25.92,26.54,27.07,27.07,26.69
"Dire Dawa",24.63,21.24,22.75,24.51,25.75,26.89,27.77,26.81,26.06,25.98,24.31,22.37,21.06
"Beneshangul Gumu",24.99,23.80,25.63,27.41,28.25,27.00,24.77,23.45,23.03,23.62,24.67,24.69,23.76
Amhara,20.39,18.66,20.40,21.82,22.80,22.65,21.61,20.17,19.57,19.83,19.68,19.17,18.38
