Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
France,11.64,4.27,4.77,7.66,10.33,13.97,17.46,19.71,19.61,16.32,12.46,7.73,4.90
Saint-Pierre,25.95,24.56,24.41,24.84,25.65,26.52,26.89,26.85,27.05,26.93,26.45,25.94,25.20
Midi-Pyrenees,12.21,4.71,5.26,8.11,10.44,14.19,18.01,20.62,20.58,17.23,13.30,8.18,5.32
Lorraine,10.39,1.94,2.93,6.36,9.94,13.68,17.15,19.07,18.78,15.02,10.64,5.79,2.86
Limousin,11.18,3.91,4.43,7.22,9.86,13.56,16.98,19.17,18.95,15.79,12.11,7.25,4.42
Arrondissement_souse_le_vent,19.65,22.44,22.59,22.00,20.98,19.16,17.60,16.69,16.73,17.51,18.59,20.03,21.66
Languedoc-Rousillon,12.68,5.17,5.46,8.37,10.77,14.60,18.65,21.42,21.32,17.72,13.64,8.66,5.89
Arrondissement_du_vent,20.25,23.00,23.15,22.59,21.59,19.77,18.18,17.34,17.39,18.10,19.21,20.62,22.22
Ile-de-France,11.86,4.57,5.04,8.10,10.99,14.50,17.74,19.82,19.61,16.23,12.29,7.84,5.11
"Administrative unit not available",25.44,23.92,23.83,24.14,24.92,25.83,26.52,26.65,26.75,26.50,26.02,25.44,24.63
Haute-Normandie,11.22,4.89,4.99,7.44,9.90,13.16,16.18,18.27,18.28,15.58,12.01,8.06,5.41
"Administrative unit not available",24.86,26.03,25.99,26.25,25.88,25.30,23.93,22.95,22.84,23.33,24.37,25.49,25.99
Franche-Comte,10.12,1.38,2.44,6.00,9.62,13.41,17.12,19.05,18.75,14.97,10.67,5.49,2.09
Corse,14.21,8.03,7.35,9.16,11.57,15.16,18.95,21.93,22.41,19.02,15.69,11.89,8.80
Champagne-Ardenne,11.15,3.13,3.98,7.26,10.40,14.07,17.47,19.59,19.38,15.67,11.52,6.73,4.11
Centre,12.02,4.65,5.25,8.31,10.93,14.53,17.83,19.97,19.86,16.60,12.71,7.92,5.17
Bretagne,12.13,6.78,6.77,8.73,10.52,13.42,16.26,18.14,18.23,16.13,13.19,9.67,7.38
Bourgogne,11.50,3.26,4.19,7.62,10.69,14.45,18.00,20.23,20.00,16.23,12.08,6.88,3.88
Basse-Normandie,11.43,5.48,5.50,7.86,9.90,13.13,16.05,18.02,18.12,15.71,12.35,8.57,6.02
Saint-laurent-du-maroni,26.49,25.83,25.66,26.08,26.27,26.44,26.41,26.37,26.88,27.12,27.29,27.07,26.40
Auvergne,10.14,2.65,3.01,5.96,8.57,12.47,16.12,18.46,18.35,14.98,11.17,6.10,3.29
Cayenne,26.25,25.63,25.48,25.81,26.04,26.11,26.11,26.13,26.63,26.93,27.04,26.83,26.19
Rhone-Alpes,9.77,1.46,2.05,5.27,8.40,12.51,16.45,18.94,18.65,14.83,10.58,5.40,2.20
Aquitaine,13.71,6.62,7.36,10.02,12.23,15.75,19.12,21.34,21.41,18.44,14.81,9.90,7.10
Alsace,10.30,1.27,2.43,6.14,10.23,13.97,17.55,19.33,18.98,15.10,10.52,5.58,1.94
Provence-Alpes-Cote-d'Azur,11.32,3.81,3.83,6.58,9.32,13.33,17.36,20.11,19.99,16.29,12.42,7.58,4.61
Poitou-Charentes,12.95,5.93,6.52,9.30,11.64,15.20,18.46,20.56,20.49,17.54,13.86,9.11,6.36
Picardie,11.25,4.20,4.61,7.43,10.31,13.73,16.85,18.94,18.81,15.56,11.75,7.54,4.83
Pays-de-la-Loire,12.46,5.85,6.22,8.91,11.12,14.52,17.75,19.73,19.66,16.85,13.28,8.92,6.29
Nord-Pas-de-Calais,11.01,4.31,4.59,7.16,9.88,13.28,16.24,18.33,18.35,15.37,11.70,7.62,4.89
"Le Marin",26.72,25.36,25.28,25.66,26.40,27.33,27.66,27.70,27.77,27.59,27.15,26.74,25.95
"La Trinite",26.25,24.87,24.75,25.15,25.92,26.83,27.20,27.20,27.36,27.20,26.72,26.26,25.48
Fort-de-France,26.14,24.75,24.62,25.03,25.82,26.71,27.09,27.07,27.24,27.09,26.62,26.14,25.37
