Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Gabon,25.19,25.96,26.08,26.32,26.25,25.84,24.34,23.47,23.65,24.73,25.34,25.20,25.20
Nyanga,24.88,25.96,26.01,26.38,26.54,25.66,23.36,22.66,22.47,24.01,25.19,25.31,25.17
Ngounie,25.06,26.51,26.01,26.12,26.19,25.65,23.88,23.00,23.18,24.46,25.41,25.22,25.21
Moyen-Ogooue,26.14,27.09,27.14,27.23,27.10,26.81,25.18,24.11,24.50,25.69,26.36,26.26,26.35
Haut-Ogooue,24.62,25.07,25.30,25.67,25.65,25.18,23.93,23.31,23.58,24.24,24.57,24.46,24.52
Estuaire,25.60,26.41,26.60,26.65,26.34,26.27,24.92,23.94,24.12,25.15,25.49,25.56,25.85
Woleu-Ntem,24.89,25.14,25.73,25.94,25.65,25.54,24.51,23.65,23.64,24.64,24.87,24.84,24.65
Ogooue-Maritime,26.29,27.44,27.39,27.60,27.62,26.95,24.82,23.96,24.42,25.62,26.46,26.54,26.69
Ogooue-lolo,25.15,25.93,25.98,26.27,26.23,25.77,24.45,23.58,23.80,24.65,25.41,24.90,24.86
Ogooue-Ivindo,25.07,25.45,25.81,26.16,26.06,25.77,24.51,23.52,23.70,24.79,25.25,24.93,24.90
