Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Georgia,9.03,-2.65,-1.64,2.87,8.53,13.06,17.28,20.02,20.27,16.06,10.59,4.21,-0.92
Samtskhe-Javakheti,5.98,-7.04,-5.86,-0.58,5.82,10.35,14.37,17.54,17.98,13.77,8.08,1.34,-4.79
"Samergelo and Zemo (upper) Svaneti",8.82,-1.59,-0.86,2.88,8.04,12.40,16.40,18.70,19.15,15.24,10.44,4.50,-0.14
"Racha-Lechkhumi and Kvemo (lower) Svaneti",5.17,-6.89,-6.05,-1.39,4.89,9.58,13.73,16.50,16.80,12.34,6.71,0.26,-5.10
Mtskheta-Mtianeti,7.21,-5.59,-4.54,0.60,6.92,11.83,16.38,19.45,19.46,14.70,8.49,1.74,-3.71
"Kvemo Kartli",10.02,-2.94,-1.60,3.81,9.81,14.48,18.83,21.98,22.08,17.62,11.57,4.74,-0.84
Kakheti,11.28,-0.82,0.26,4.94,10.82,15.47,20.26,23.21,22.99,18.52,12.39,5.78,0.84
Imereti,11.50,0.51,1.62,5.90,11.05,15.34,19.24,21.48,21.92,18.08,13.18,6.93,2.06
Guria,11.72,1.79,2.79,6.28,10.85,14.87,18.62,20.76,21.37,17.98,13.69,7.81,3.15
"Adjara Aut. Rep.",10.88,0.82,1.92,5.39,10.03,14.04,17.71,19.93,20.60,17.27,13.01,7.01,2.19
"Abkhazia Aut. Rep.",9.02,-0.80,-0.20,3.12,7.85,12.23,16.23,18.68,19.16,15.22,10.57,4.99,0.61
Tbilisi,12.33,0.23,1.44,6.37,11.97,16.70,21.04,23.95,23.89,19.44,13.54,6.87,1.84
"Shida Kartli",7.95,-4.77,-3.61,1.61,7.77,12.45,16.70,19.66,19.86,15.38,9.51,2.80,-2.75
