Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ghana,27.66,27.31,29.45,30.18,29.60,28.53,27.08,26.10,25.65,26.19,27.12,27.78,27.11
Eastern,27.00,27.09,28.72,28.63,28.19,27.50,26.44,25.53,25.26,25.95,26.63,27.32,26.94
Central,26.82,26.93,28.16,28.17,27.93,27.39,26.42,25.49,24.98,25.67,26.51,27.22,27.05
"Brong Ahafo",27.39,27.22,29.43,29.74,29.00,28.13,26.88,25.87,25.52,26.03,26.75,27.46,26.79
Ashanti,26.98,26.86,28.76,28.75,28.24,27.64,26.53,25.58,25.22,25.88,26.57,27.22,26.65
Western,26.93,26.90,28.29,28.43,28.15,27.56,26.52,25.71,25.17,25.76,26.57,27.24,26.93
Volta,27.42,27.56,29.35,29.59,28.96,28.02,26.68,25.75,25.43,26.00,26.79,27.68,27.36
"Upper West",28.61,27.25,30.04,32.23,31.87,30.18,28.07,26.78,26.17,26.67,28.19,28.72,27.29
"Upper East",28.95,27.39,30.10,32.73,32.63,30.90,28.48,27.20,26.50,26.97,28.43,28.85,27.38
Northern,28.28,27.69,30.29,31.60,30.79,29.31,27.54,26.58,26.07,26.52,27.60,28.19,27.37
"Greater Accra",27.34,27.66,28.84,28.84,28.55,27.93,26.70,25.77,25.33,26.07,26.90,27.82,27.79
