Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Guinea-Bissau,28.05,26.12,27.49,29.37,30.19,30.53,29.07,27.46,27.24,27.24,28.11,27.72,26.01
Gabu,28.26,26.15,27.70,30.05,31.28,31.46,29.34,27.45,27.43,27.08,27.93,27.46,25.77
Cacheu,27.61,25.78,27.02,27.92,28.40,28.81,28.67,27.50,27.17,27.45,28.35,28.00,26.26
Bolama/bijagos,27.43,26.33,27.04,27.88,27.89,28.27,27.94,27.10,26.79,27.11,28.00,28.07,26.75
Biombo,27.59,26.29,27.21,28.14,28.07,28.61,28.18,27.23,26.97,27.23,28.22,28.21,26.76
Bafata,28.15,26.01,27.54,29.63,30.57,30.97,29.33,27.56,27.28,27.27,28.18,27.61,25.82
Tombali,27.89,26.82,27.51,29.15,29.60,29.73,28.37,27.19,26.91,27.06,27.87,27.89,26.54
"Sector Autonomo De Bissau",27.59,26.30,27.21,28.14,28.06,28.60,28.17,27.22,26.96,27.23,28.21,28.22,26.77
Quinara,27.86,26.55,27.42,28.98,29.28,29.64,28.50,27.28,26.95,27.18,28.06,28.01,26.52
Oio,27.97,25.75,27.31,29.01,29.72,30.30,29.20,27.60,27.24,27.45,28.36,27.79,25.94
