Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Greece,14.06,4.73,5.81,8.47,12.03,16.80,21.26,23.81,23.94,19.82,15.08,10.37,6.08
Ipeiros,13.12,4.00,4.94,7.74,11.20,15.92,20.06,22.77,23.01,18.69,13.96,9.41,5.18
"Notio Aigaio",18.18,10.61,10.99,12.74,15.61,19.62,24.06,26.51,26.66,23.56,19.80,15.50,12.00
"Ionioi Nisoi",16.50,8.64,9.04,11.05,13.88,18.31,22.61,25.21,25.65,21.76,17.74,13.64,9.92
"Dytiki Ellada",15.17,6.82,7.40,9.68,12.73,17.32,21.59,24.18,24.57,20.73,16.35,11.99,8.10
Attiki,16.93,8.32,8.91,10.93,14.40,19.07,23.90,26.50,26.50,22.54,18.00,13.70,9.82
"Voreio Aigaio",16.38,8.17,8.71,10.72,14.10,18.47,22.98,25.46,25.39,21.81,17.58,13.04,9.62
"Anatoliki Makedonia Kai Thraki",12.94,2.67,4.28,7.38,11.24,16.36,20.76,23.21,23.29,18.77,13.81,8.74,4.23
Thessalia,13.72,3.98,5.23,7.98,11.69,16.70,21.36,23.97,23.99,19.72,14.62,9.69,5.15
"Sterea Ellada",14.56,5.59,6.38,8.70,12.21,17.04,21.71,24.31,24.33,20.27,15.55,11.09,7.02
Peloponnisos,15.05,6.85,7.34,9.34,12.46,16.92,21.46,24.07,24.34,20.57,16.33,12.11,8.30
Kriti,16.89,9.81,10.06,11.56,14.37,18.11,22.38,24.62,24.72,21.81,18.55,14.82,11.36
"Kentriki Makedonia",13.77,3.11,4.97,8.29,12.30,17.31,21.87,24.31,24.32,19.88,14.67,9.23,4.38
"Dytiki Makedonia",11.29,0.91,2.43,5.86,9.89,14.75,19.01,21.63,21.80,17.28,12.07,7.11,2.19
