Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Guatemala,23.66,21.46,22.17,23.56,24.94,25.32,25.11,24.56,24.56,24.30,23.68,22.38,21.79
Suchitepéquez,25.50,24.29,24.67,25.82,26.57,26.79,26.38,25.94,25.71,25.36,25.20,24.91,24.40
Jalapa,22.80,20.93,21.61,23.10,24.32,24.34,23.88,23.54,23.52,23.05,22.57,21.59,21.10
Chiquimula,22.93,20.87,21.59,23.30,24.50,24.53,24.16,23.69,23.84,23.36,22.74,21.51,21.01
Guatemala,21.06,19.49,20.11,21.32,22.33,22.35,21.98,21.70,21.61,21.21,20.82,20.06,19.62
"San Marcos",20.55,18.47,19.20,20.41,21.72,22.14,21.74,21.34,21.23,20.99,20.49,19.82,18.95
Retalhuleu,26.38,24.88,25.37,26.64,27.47,27.69,27.35,26.94,26.87,26.44,26.18,25.74,24.99
Jutiapa,23.92,22.86,23.41,24.58,25.25,25.02,24.36,24.54,24.12,23.72,23.53,22.95,22.68
Sacatepéquez,20.56,19.26,19.81,20.88,21.71,21.71,21.38,21.09,20.94,20.60,20.29,19.68,19.28
Quiché,20.21,18.16,18.81,20.15,21.46,21.80,21.58,21.06,21.06,20.55,20.11,19.10,18.55
"El Progreso",21.91,19.95,20.62,22.03,23.38,23.45,23.09,22.67,22.76,22.24,21.71,20.68,20.25
Huehuetenango,18.88,16.58,17.33,18.75,20.17,20.61,20.26,19.77,19.77,19.40,18.87,17.82,17.09
Escuintla,26.77,26.11,26.40,27.31,27.77,27.80,27.23,27.00,26.61,26.36,26.38,26.15,26.08
"Alta Verapaz",23.92,21.87,22.51,23.81,25.16,25.47,25.40,24.77,24.88,24.45,23.88,22.63,22.15
Chimaltenango,19.16,17.62,18.19,19.33,20.33,20.44,20.19,19.80,19.66,19.33,18.93,18.33,17.74
"Baja Verapaz",20.02,18.04,18.59,19.99,21.34,21.59,21.34,20.82,21.04,20.32,19.81,18.74,18.54
Sololá,17.41,15.40,16.03,17.15,18.50,18.91,18.86,18.30,18.03,17.84,17.24,16.83,15.77
Izabal,25.88,23.43,24.12,25.81,27.04,27.51,27.57,26.90,27.10,27.04,26.00,24.25,23.70
"Santa Rosa",24.21,23.24,23.81,24.74,25.34,25.23,24.68,24.79,24.35,24.09,23.90,23.23,23.17
Petén,25.77,22.89,23.78,25.30,27.16,27.80,27.74,26.95,27.03,26.94,26.10,24.13,23.36
Quetzaltenango,21.06,19.17,19.84,20.93,22.10,22.46,22.18,21.79,21.70,21.46,20.97,20.43,19.67
Totonicapán,17.10,14.90,15.55,16.78,18.24,18.73,18.61,18.05,17.89,17.60,16.99,16.32,15.40
Zacapa,24.17,22.07,22.78,24.37,25.69,25.83,25.52,24.89,25.11,24.73,24.04,22.66,22.27
