Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Guyana,26.12,25.62,25.62,25.96,26.08,25.97,25.73,25.60,26.20,26.75,27.01,26.79,26.09
"Pomeroon/supenaam (region N°2",26.83,26.16,26.35,26.52,26.82,26.79,26.53,26.46,27.19,27.49,27.63,27.33,26.67
"Mahaica Berbice (region N°5)",27.17,26.64,26.65,26.98,26.93,27.08,27.05,27.00,27.49,27.84,27.77,27.59,26.96
"Essequibo Islands/west Demerara (region N°3)",26.83,26.16,26.23,26.56,26.80,26.79,26.57,26.64,27.17,27.52,27.68,27.36,26.54
"East Berbice/corentyne (region N°6)",26.56,26.03,25.95,26.25,26.32,26.29,26.22,26.10,26.79,27.32,27.57,27.29,26.58
"Demerara Mahaica (region N°4)",26.87,26.25,26.27,26.65,26.79,26.82,26.67,26.73,27.21,27.55,27.65,27.36,26.55
"Cuyuni/mazaruni (region N°7)",25.23,24.56,24.64,25.04,25.34,25.34,25.03,24.92,25.39,25.78,25.98,25.78,24.98
"Barima Waini (region N°1)",26.40,25.53,25.68,26.00,26.59,26.58,26.25,26.15,26.71,27.06,27.13,26.85,26.29
"Upper Takutu/upper Essequibo (region N°9)",26.82,26.64,26.52,26.88,26.75,26.36,26.05,25.86,26.58,27.47,27.89,27.71,27.09
"Upper Demerara/berbice (region N°10)",26.56,26.02,26.00,26.36,26.39,26.42,26.29,26.20,26.77,27.27,27.38,27.19,26.38
"Potaro/siparuni (region N°8)",24.39,24.01,24.02,24.36,24.39,24.28,23.99,23.80,24.36,24.86,25.17,25.05,24.34
