Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Honduras,24.72,22.72,23.40,24.72,25.84,26.28,25.79,25.37,25.53,25.45,24.80,23.56,23.18
"Francisco Morazan",23.33,21.16,22.00,23.35,24.59,25.02,24.32,23.97,24.18,24.05,23.45,22.13,21.70
Valle,26.73,25.80,26.28,27.40,28.32,27.81,27.02,27.13,27.05,26.26,26.07,25.66,25.94
Cortes,25.44,23.11,23.78,25.31,26.59,27.06,26.88,26.50,26.58,26.45,25.43,23.93,23.48
"Santa Barbara",23.93,21.59,22.38,24.00,25.25,25.56,25.30,24.89,25.05,24.81,23.83,22.38,21.95
Copan,23.00,20.66,21.42,23.15,24.39,24.67,24.46,23.92,24.11,23.89,22.93,21.40,20.88
Paraiso,23.61,21.63,22.36,23.70,24.94,25.47,24.52,23.94,24.14,24.26,23.88,22.54,21.93
Comayagua,23.13,20.71,21.64,23.10,24.30,24.82,24.25,23.99,24.16,23.91,23.22,21.81,21.53
Olancho,24.52,22.34,23.17,24.49,25.69,26.31,25.60,24.93,25.14,25.32,24.82,23.45,22.91
Colon,26.14,24.12,24.73,25.88,26.85,27.54,27.31,26.80,27.12,27.18,26.34,25.07,24.72
Ocotepeque,22.73,21.01,21.68,23.28,24.28,24.16,23.64,23.44,23.49,23.06,22.46,21.30,20.96
Choluteca,26.83,26.09,26.53,27.57,28.39,27.92,26.88,27.03,27.09,26.43,26.15,25.83,26.03
"Name Unknown",22.24,20.34,21.09,22.63,23.69,23.76,23.23,23.03,23.07,22.75,22.00,20.77,20.46
Atlantida,25.33,22.92,23.41,24.80,26.02,26.90,26.99,26.52,26.68,26.68,25.51,23.98,23.41
Lempira,22.24,20.34,21.09,22.63,23.69,23.76,23.23,23.03,23.07,22.75,22.00,20.77,20.46
"La Paz",23.26,21.34,22.18,23.54,24.65,24.73,24.11,23.97,24.03,23.63,23.09,21.98,21.84
"Islas De Bahia",27.67,25.62,26.06,27.20,28.39,29.02,29.03,28.48,28.66,28.79,27.97,26.58,26.10
Intibuca,22.28,20.31,21.15,22.62,23.68,23.82,23.25,23.06,23.10,22.77,22.09,20.87,20.65
"Gracias A Dios",27.14,25.67,25.92,26.98,27.87,28.31,28.04,27.71,27.82,27.76,27.18,26.29,26.06
Yoro,24.12,21.70,22.40,23.83,25.08,25.81,25.50,25.05,25.27,25.16,24.30,22.82,22.36
