Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Croatia,11.81,1.48,3.05,7.03,11.60,15.93,19.74,21.76,21.64,16.96,12.17,7.36,2.35
Sibenik,13.07,3.90,4.76,7.87,11.94,16.29,20.25,22.82,22.74,18.03,13.63,9.31,4.69
"Grad Zagreb",11.67,0.60,2.74,7.28,12.14,16.30,20.15,21.86,21.48,16.80,11.74,6.90,1.51
Zagreb,11.65,0.56,2.71,7.25,12.13,16.29,20.14,21.84,21.47,16.79,11.73,6.90,1.46
Istra,13.59,5.23,5.51,8.42,12.19,16.44,20.48,22.96,23.00,18.35,14.24,9.84,5.92
Zadar-knin,12.37,3.02,3.99,7.35,11.46,15.75,19.66,22.05,21.98,17.32,12.92,8.61,3.83
Karlovac,10.86,0.48,2.08,6.27,10.85,15.11,18.86,20.72,20.46,15.84,11.19,6.48,1.39
Vukovar-srijem,12.50,1.21,3.25,7.78,12.73,17.41,21.05,22.81,22.87,18.07,12.80,7.13,2.26
Koprivnica-krizevci,11.68,0.59,2.81,7.29,12.15,16.47,20.12,21.82,21.68,16.90,11.73,6.64,1.38
Virovitica-podravina,11.82,0.61,2.72,7.25,12.13,16.62,20.29,22.08,22.06,17.32,12.09,6.64,1.46
Krapina-zagorje,11.34,0.58,2.61,6.93,11.62,15.95,19.62,21.34,21.13,16.41,11.49,6.49,1.36
Varazdin,11.62,0.74,2.85,7.27,11.99,16.30,19.98,21.66,21.45,16.72,11.72,6.66,1.52
Lika-senj,10.01,0.36,1.44,5.08,9.42,13.71,17.49,19.63,19.55,14.94,10.60,6.14,1.21
Split-dalmatija,13.24,4.22,4.95,7.85,11.94,16.27,20.28,22.92,22.91,18.28,13.88,9.70,5.07
Medimurje,11.63,0.67,2.84,7.28,12.06,16.37,20.02,21.71,21.53,16.77,11.69,6.62,1.45
"Slavonski Brod-posav",11.93,0.88,2.87,7.32,12.16,16.62,20.29,22.14,22.12,17.44,12.22,6.80,1.76
Osijek-baranja,12.34,0.83,3.04,7.58,12.69,17.25,20.97,22.78,22.78,17.96,12.66,7.06,1.93
Sisak-moslavina,11.65,0.53,2.66,7.12,12.09,16.19,20.04,21.82,21.49,16.85,11.80,7.13,1.47
Pozega-slavonija,11.79,0.80,2.74,7.21,12.02,16.46,20.10,22.00,21.97,17.28,12.06,6.66,1.63
Bjelovar-bilogora,11.63,0.38,2.67,7.21,12.11,16.38,20.12,21.80,21.64,16.95,11.74,6.78,1.25
"Primorje-gorski Kota",11.21,2.26,2.87,6.16,10.18,14.48,18.39,20.63,20.57,16.05,11.86,7.44,3.00
Dubrovnik-neretva,14.37,5.27,6.12,9.09,12.89,17.29,21.35,23.99,24.16,19.59,15.20,10.75,6.20
