Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Haiti,24.86,22.82,23.17,23.76,24.52,25.25,26.22,26.26,26.48,26.17,25.60,24.52,23.46
Ouest,24.53,22.48,22.86,23.44,24.20,24.92,25.90,25.92,26.15,25.84,25.24,24.20,23.15
"Grande Anse",25.27,23.39,23.62,24.04,24.83,25.58,26.58,26.75,26.82,26.54,26.00,25.03,23.91
"Nord Ouest",25.62,23.53,23.81,24.37,25.25,26.02,26.98,27.00,27.30,27.05,26.49,25.36,24.23
Nippes,25.79,23.80,24.05,24.66,25.45,26.15,27.20,27.17,27.36,27.09,26.57,25.48,24.44
"Nord Est",25.57,23.47,23.88,24.53,25.27,26.01,27.00,27.08,27.29,26.88,26.31,25.07,23.98
Nord,25.07,22.96,23.35,23.91,24.71,25.49,26.45,26.48,26.71,26.42,25.85,24.72,23.64
Centre,24.45,22.40,22.86,23.50,24.24,24.89,25.78,25.81,26.01,25.66,25.12,24.00,22.98
Artibonite,25.25,23.17,23.50,24.11,24.89,25.66,26.61,26.63,26.90,26.58,26.04,24.95,23.85
"Sud Est",23.62,21.61,21.96,22.51,23.27,23.96,24.96,24.98,25.23,24.99,24.30,23.34,22.29
Sud,25.22,23.26,23.50,24.09,24.84,25.58,26.58,26.62,26.80,26.51,25.95,24.94,23.88
