Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Hungary,11.51,-0.23,1.97,6.57,12.12,16.64,20.38,22.14,22.03,17.06,11.72,6.22,0.92
Bacs-kiskun,12.14,0.26,2.43,7.12,12.69,17.29,21.09,22.87,22.80,17.81,12.47,6.76,1.48
Komarom-esztergom,11.35,-0.04,2.02,6.56,11.85,16.43,20.03,21.89,21.79,16.74,11.40,5.93,0.97
Jasz-nagykun-szolnok,11.75,-0.54,1.86,6.58,12.54,17.06,20.99,22.65,22.50,17.48,12.05,6.50,0.78
Hajdu-bihar,11.31,-0.92,1.47,6.05,12.11,16.67,20.51,22.05,21.93,16.92,11.56,6.29,0.42
Zala,11.45,0.48,2.52,6.97,11.87,16.28,19.89,21.70,21.47,16.66,11.50,6.22,1.26
Gyor-moson-sopron,11.37,0.22,2.16,6.66,11.86,16.31,19.93,21.84,21.66,16.72,11.31,5.96,1.20
Veszprem,11.26,0.12,2.08,6.54,11.66,16.16,19.80,21.71,21.54,16.63,11.29,5.91,1.04
Fejer,11.82,0.39,2.38,6.97,12.32,16.85,20.54,22.43,22.35,17.32,11.93,6.32,1.40
Vas,11.18,0.23,2.21,6.60,11.54,15.96,19.65,21.47,21.25,16.39,11.20,5.94,1.12
Csongrad,12.16,-0.13,2.19,6.93,12.79,17.39,21.32,22.94,22.90,17.99,12.67,7.03,1.24
Tolna,12.03,0.47,2.60,7.19,12.47,17.04,20.73,22.62,22.55,17.61,12.28,6.62,1.57
Budapest,11.84,0.18,2.28,6.92,12.46,16.98,20.67,22.56,22.50,17.37,11.99,6.28,1.30
Szabolcs-szatmar-bereg,10.88,-1.20,1.19,5.81,11.70,16.29,19.92,21.54,21.40,16.37,10.98,5.74,0.16
Borsod-abauj-zemplen,10.42,-1.60,0.74,5.39,11.26,15.73,19.44,21.17,21.02,15.97,10.59,5.05,-0.38
Somogy,11.75,0.54,2.61,7.12,12.17,16.64,20.29,22.13,22.01,17.17,11.89,6.47,1.40
Bekes,11.91,-0.44,1.99,6.62,12.60,17.13,21.11,22.66,22.60,17.74,12.37,6.98,0.99
Pest,11.70,-0.07,2.10,6.72,12.37,16.88,20.61,22.43,22.36,17.25,11.91,6.21,1.08
Baranya,12.03,0.56,2.71,7.28,12.40,16.94,20.64,22.50,22.46,17.61,12.35,6.73,1.60
Nograd,10.65,-1.04,1.13,5.63,11.34,15.79,19.45,21.24,21.20,16.18,10.89,5.27,0.08
Heves,11.03,-1.00,1.28,5.99,11.82,16.29,20.09,21.82,21.71,16.67,11.25,5.63,0.18
