Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ireland,9.74,5.35,5.57,6.71,8.47,10.84,13.34,15.09,14.84,13.06,10.21,7.38,5.72
Cavan,9.25,4.47,4.81,6.18,8.10,10.62,13.26,14.98,14.62,12.65,9.68,6.53,4.80
Carlow,9.76,5.35,5.54,6.64,8.32,10.80,13.46,15.29,14.97,13.12,10.19,7.40,5.73
Monaghan,9.27,4.42,4.80,6.10,8.15,10.66,13.32,15.06,14.70,12.71,9.74,6.51,4.75
Meath,9.70,5.01,5.30,6.58,8.44,10.97,13.70,15.42,15.09,13.14,10.12,7.01,5.30
Mayo,9.58,5.35,5.55,6.71,8.49,10.67,12.91,14.50,14.37,12.78,10.12,7.40,5.81
Louth,9.79,5.12,5.38,6.64,8.51,11.04,13.73,15.45,15.15,13.23,10.26,7.19,5.43
Longford,9.47,4.75,5.13,6.44,8.42,10.77,13.43,15.19,14.78,12.82,9.88,6.72,5.01
Limerick,10.04,5.69,5.89,7.00,8.72,11.14,13.59,15.37,15.16,13.38,10.48,7.73,6.06
Leitrim,9.09,4.46,4.75,6.08,7.98,10.35,12.90,14.65,14.31,12.40,9.57,6.51,4.77
Laois,9.61,5.01,5.36,6.54,8.36,10.83,13.49,15.32,14.94,12.96,9.99,6.95,5.32
Kilkenny,9.78,5.33,5.62,6.69,8.42,10.88,13.52,15.35,15.07,13.08,10.18,7.33,5.66
Kildare,9.66,5.07,5.33,6.54,8.34,10.86,13.54,15.37,14.97,13.10,10.07,7.04,5.43
Roscommon,9.47,4.87,5.24,6.46,8.36,10.77,13.25,15.01,14.66,12.75,9.91,6.86,5.18
Offaly,9.59,4.95,5.31,6.53,8.42,10.88,13.51,15.32,14.91,12.96,9.99,6.85,5.25
Kerry,10.19,6.30,6.33,7.28,8.80,10.99,13.29,14.96,14.85,13.41,10.76,8.31,6.75
Munster,9.27,4.42,4.80,6.10,8.15,10.66,13.32,15.06,14.70,12.71,9.74,6.51,4.75
Galway,9.80,5.37,5.69,6.86,8.67,10.98,13.37,15.11,14.83,13.09,10.25,7.37,5.76
Dublin,9.65,5.17,5.31,6.45,8.18,10.70,13.43,15.20,14.98,13.16,10.20,7.26,5.52
Donegal,8.90,4.51,4.72,5.89,7.70,10.00,12.44,14.04,13.89,12.22,9.53,6.69,4.93
Cork,10.22,6.16,6.22,7.18,8.78,11.09,13.49,15.30,15.12,13.52,10.71,8.19,6.58
Clare,10.22,5.82,6.09,7.23,9.02,11.38,13.77,15.50,15.27,13.56,10.67,7.87,6.20
Wicklow,9.70,5.31,5.44,6.48,8.18,10.67,13.36,15.17,14.93,13.16,10.25,7.40,5.71
Wexford,10.18,5.94,6.07,6.96,8.63,11.05,13.62,15.44,15.30,13.57,10.79,8.10,6.40
Westmeath,9.49,4.74,5.12,6.44,8.34,10.82,13.48,15.25,14.84,12.88,9.88,6.73,5.07
Waterford,9.99,5.74,5.90,6.91,8.52,10.91,13.49,15.36,15.16,13.29,10.40,7.74,6.12
Tipperary,9.75,5.35,5.59,6.67,8.41,10.86,13.41,15.29,14.98,13.07,10.14,7.28,5.67
Sligo,9.16,4.71,4.96,6.20,8.08,10.35,12.76,14.46,14.20,12.42,9.66,6.76,5.05
