Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Iran,18.32,5.90,8.08,12.60,18.08,23.42,28.07,29.96,28.76,24.87,19.33,12.38,7.67
"West Azarbayejan",10.90,-3.31,-1.19,4.24,9.83,14.90,20.30,24.09,24.02,19.51,13.09,5.30,-0.74
Tehran,14.51,0.68,2.87,7.99,13.68,19.19,24.95,27.77,26.96,22.51,15.93,8.08,2.70
Semnan,18.34,4.93,7.00,12.08,18.05,23.77,28.99,31.10,29.97,25.79,19.36,11.71,6.57
Mazandaran,14.54,2.33,3.72,7.94,13.21,18.60,23.92,26.54,26.08,22.10,16.08,9.15,4.08
Markazi,13.89,-0.49,2.11,7.81,13.23,18.32,24.26,27.43,26.52,21.76,15.33,7.50,2.13
Lorestan,14.84,1.56,4.02,8.64,13.58,18.67,24.47,27.91,27.23,22.46,16.34,8.69,3.70
"Administrative unit not available",17.02,7.20,7.62,10.29,14.83,20.06,24.87,27.12,27.14,23.78,18.80,13.10,8.82
Ghazvin,12.47,-0.85,1.06,6.17,11.44,16.47,22.00,25.05,24.57,20.12,14.16,6.90,1.75
Kordestan,11.93,-1.86,0.62,5.49,10.48,15.57,21.33,25.25,24.88,20.11,13.83,5.98,0.68
Ghom,18.15,4.19,6.64,11.84,17.54,22.97,28.76,31.46,30.50,25.98,19.48,11.47,6.20
"Kohgiluyeh va boyerahma",18.03,5.90,7.97,11.94,17.21,22.79,27.42,29.59,28.90,24.89,19.36,12.17,7.50
Ardebil,11.63,-0.24,0.98,4.96,10.70,15.01,20.40,23.24,23.02,18.88,13.63,6.40,1.81
Khuzestan,23.85,11.27,13.54,17.43,22.85,28.97,33.53,35.53,34.85,31.14,25.68,17.86,12.87
Golestan,17.22,4.76,6.21,10.75,16.42,22.27,27.13,29.41,28.93,24.61,18.01,11.09,6.31
Kermanshah,15.41,2.32,4.80,8.86,13.76,19.03,24.79,28.55,28.12,23.15,17.24,9.23,4.31
"Sistan-o baluchestan",23.44,12.33,14.71,19.01,24.45,29.32,32.50,32.92,31.28,28.26,23.97,18.14,13.83
Kerman,20.02,8.37,10.96,15.08,20.43,25.62,29.64,30.67,28.85,25.51,20.57,14.11,9.88
Khorasan,17.35,4.55,6.61,11.77,17.60,23.25,28.00,29.60,27.79,23.58,17.72,10.84,6.20
Hamedan,11.73,-2.51,-0.03,5.75,10.90,15.70,21.57,25.21,24.58,19.48,13.29,5.70,0.38
Gilan,13.89,3.11,3.91,7.26,12.13,17.10,22.18,24.65,24.55,20.79,15.74,9.43,5.23
Fars,19.20,7.82,9.74,13.29,18.39,23.96,28.26,30.04,29.12,25.56,20.36,13.82,9.47
Esfahan,17.58,3.96,6.58,11.54,17.36,22.87,28.45,30.66,29.31,24.85,18.43,10.64,5.61
"East Azarbayejan",11.01,-2.73,-0.69,4.41,10.02,14.80,20.35,23.92,23.77,19.25,13.01,5.32,-0.15
"Chaharmahal-o bakhtiyar",14.04,0.84,3.32,8.01,13.35,18.76,24.29,26.90,25.88,21.29,15.06,7.49,2.58
Zanjan,11.04,-2.55,-0.48,4.80,10.07,14.86,20.32,23.69,23.34,18.82,12.90,5.58,0.29
Bushehr,24.49,13.89,15.37,18.59,23.67,29.00,32.13,33.81,33.68,30.82,26.55,20.14,15.69
Yazd,18.41,5.42,8.01,12.69,18.49,24.18,29.21,30.87,29.05,24.99,18.87,11.50,6.93
Ilam,20.40,7.59,10.09,13.80,19.03,24.77,30.05,33.00,32.37,27.99,22.23,13.98,9.23
Hormozgan,25.20,15.58,17.14,20.27,25.02,29.61,32.44,33.33,32.46,30.38,26.80,21.42,17.39
