Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Iraq,22.97,9.86,12.40,16.52,22.21,28.11,32.70,35.18,34.57,31.00,25.01,16.26,11.13
Baghdad,23.95,11.01,13.70,17.52,23.18,29.19,33.97,36.08,35.42,31.53,25.97,17.13,12.05
Babil,24.55,11.36,14.06,18.37,24.01,29.92,34.65,36.51,35.97,32.31,26.63,17.70,12.44
Kirkuk,22.91,10.16,12.39,15.67,20.66,27.14,32.87,35.78,35.52,31.33,25.20,16.37,11.09
Wassit,24.69,11.91,14.44,18.12,23.71,29.87,34.61,36.56,36.18,32.32,26.86,18.11,12.99
Sulaymaniyah,18.76,5.64,8.21,11.60,16.45,22.63,28.41,31.93,31.66,27.30,21.04,12.37,7.18
Erbil,18.27,4.97,7.11,11.19,16.22,22.29,27.98,31.46,31.16,26.90,20.51,12.22,6.49
Najaf,24.57,11.06,13.70,18.49,24.61,30.35,34.49,36.58,35.81,32.83,26.51,17.49,12.26
"Salah al-Din",23.43,10.60,13.07,16.64,21.94,28.18,33.49,36.14,35.61,31.40,25.45,16.53,11.47
Qadissiya,25.16,12.00,14.65,19.02,24.79,30.80,35.14,36.82,36.33,33.04,27.29,18.35,13.03
Ninewa,20.93,8.04,10.22,14.09,18.94,25.09,30.87,34.16,33.65,29.19,22.73,14.44,9.03
Muthanna,25.58,12.01,14.81,19.46,25.90,31.75,35.44,37.41,36.45,33.70,27.59,18.49,13.32
Missan,25.36,12.22,14.98,18.90,24.75,30.90,35.26,37.39,36.35,33.10,27.29,18.65,13.86
Basrah,26.05,12.87,15.58,19.91,25.67,32.02,35.84,37.53,36.66,33.78,28.15,19.61,14.33
Kerbala,24.40,10.85,13.65,18.29,24.09,29.88,34.56,36.75,35.88,32.48,26.39,17.26,12.07
Anbar,21.93,8.92,11.42,15.71,21.57,27.07,31.33,33.86,33.27,29.89,23.95,15.25,10.29
Diyala,23.72,11.13,13.72,16.61,22.12,28.48,33.75,36.19,35.90,31.10,25.88,16.94,12.12
Dahuk,16.04,2.95,4.74,8.85,13.66,19.59,25.56,29.38,29.21,24.76,18.28,10.26,4.51
Thi-Qar,25.70,12.33,15.26,19.42,25.48,31.62,35.37,37.30,36.62,33.69,27.87,19.01,13.74
