Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Iceland,1.83,-2.95,-3.21,-2.62,0.02,3.44,6.85,8.86,8.41,5.58,1.52,-1.44,-2.91
Austur-hunavatns,1.32,-3.91,-4.07,-3.34,-0.41,3.37,6.92,8.82,8.21,5.21,0.85,-2.41,-3.79
Norour-pingeyjar,1.97,-2.60,-2.95,-2.61,-0.21,3.22,6.75,8.90,8.69,5.83,1.89,-1.04,-2.57
Austur-baroastrandar,2.10,-2.54,-2.91,-2.32,0.21,3.50,6.97,8.91,8.51,5.75,1.85,-0.83,-2.30
Norour-mùla,1.24,-2.91,-3.35,-3.02,-0.82,2.22,5.52,7.66,7.50,4.97,1.22,-1.50,-2.97
Vestur-skaftafells,3.32,-1.46,-1.58,-0.85,1.81,5.04,8.29,10.26,9.67,6.88,2.94,-0.03,-1.52
Arnes,2.30,-2.79,-2.86,-2.11,0.75,4.31,7.73,9.65,8.92,5.98,1.82,-1.35,-2.79
Norour-isafjaroar,1.96,-2.40,-2.89,-2.46,-0.08,3.14,6.57,8.50,8.24,5.60,1.80,-0.67,-2.16
Vestur-isafjaroar,2.36,-1.95,-2.42,-2.11,0.34,3.61,6.97,8.79,8.57,5.97,2.22,-0.25,-1.74
"Nordhurland Eystra",2.16,-2.84,-3.02,-2.31,0.48,3.99,7.44,9.37,8.78,5.84,1.74,-1.28,-2.71
Vestur-hunavatns,1.64,-3.52,-3.71,-2.95,-0.04,3.55,7.09,8.99,8.45,5.47,1.24,-1.95,-3.34
Vestur-baroastrandar,2.63,-1.71,-2.19,-1.84,0.58,3.88,7.25,9.09,8.86,6.29,2.55,-0.01,-1.50
Myra,2.16,-2.84,-3.02,-2.31,0.48,3.99,7.44,9.37,8.78,5.84,1.74,-1.28,-2.71
Kjosar,3.64,-1.27,-1.25,-0.56,2.19,5.48,8.71,10.53,9.94,7.15,3.23,0.30,-1.19
Suour-pingeyjar,0.78,-4.51,-4.74,-4.05,-1.15,2.75,6.41,8.63,8.07,4.75,0.28,-2.96,-4.48
Gullbringu,4.94,0.34,0.36,1.02,3.52,6.52,9.55,11.20,10.91,8.37,4.66,2.00,0.54
Suour-mùla,2.33,-1.22,-1.76,-1.57,0.36,2.84,5.82,7.82,7.93,6.02,2.62,0.11,-1.35
Eyjafjaroar,1.09,-4.12,-4.36,-3.74,-0.78,2.99,6.63,8.66,8.21,5.10,0.67,-2.54,-4.00
Stranda,1.85,-2.88,-3.24,-2.72,0.03,3.36,6.81,8.74,8.32,5.60,1.64,-1.17,-2.67
Dala,2.32,-2.56,-2.81,-2.14,0.64,4.03,7.49,9.38,8.85,5.99,1.97,-0.93,-2.39
"Snaefellsnes- Og Hna",3.41,-1.22,-1.50,-0.93,1.61,4.87,8.23,10.10,9.67,7.02,3.17,0.52,-0.98
Borgarfjaroar,1.65,-3.45,-3.57,-2.83,0.03,3.62,7.08,9.02,8.35,5.36,1.17,-1.95,-3.38
Skagafjaroar,1.10,-4.14,-4.36,-3.64,-0.67,3.11,6.70,8.66,8.11,5.08,0.65,-2.59,-4.05
Austur-skaftafells,1.06,-3.44,-3.78,-3.14,-0.66,2.58,5.77,7.83,7.41,4.66,0.78,-2.08,-3.58
Rangárvalla,2.89,-1.96,-2.04,-1.40,1.30,4.68,7.99,9.91,9.32,6.50,2.47,-0.52,-1.95
