Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Italy,13.24,4.78,5.30,8.11,11.37,15.67,19.79,22.51,22.61,18.57,14.28,9.62,5.76
Lombardia,10.74,0.94,2.25,6.18,9.98,14.33,18.40,20.72,20.41,16.11,11.32,5.94,1.71
Veneto,14.17,3.86,5.56,9.48,13.66,18.17,22.16,24.34,24.14,19.58,14.63,9.33,4.54
Liguria,13.06,4.96,5.37,8.36,11.49,15.29,19.20,21.93,21.99,18.08,14.12,9.39,6.01
"Valle D'aosta",2.89,-4.57,-4.75,-2.25,0.76,5.13,9.02,11.43,11.35,7.95,4.17,-0.65,-3.46
Lazio,14.25,6.28,6.60,8.98,11.84,16.15,20.28,23.33,23.65,19.63,15.44,10.98,7.33
Umbria,13.26,4.80,5.33,8.02,11.19,15.67,19.79,22.90,23.01,18.62,14.05,9.49,5.63
"Friuli-venezia Giulia",10.83,1.50,2.51,6.08,10.17,14.37,18.31,20.42,20.31,15.78,11.39,6.50,2.04
"Trentino-alto Adige",5.45,-3.03,-2.62,0.60,4.21,8.58,12.46,14.52,14.37,10.44,6.41,1.36,-2.42
Emilia-romagna,13.06,2.96,4.52,8.35,12.16,16.58,20.69,23.28,23.18,18.60,13.72,8.43,3.69
Toscana,14.14,5.89,6.43,9.16,12.32,16.42,20.47,23.43,23.60,19.30,15.04,10.49,6.58
Sicilia,16.82,9.53,9.40,11.17,13.80,17.93,22.20,25.04,25.52,22.32,18.61,14.66,11.07
Campania,14.63,6.72,6.77,9.09,12.24,16.68,20.76,23.59,23.91,19.95,15.82,11.56,7.84
Calabria,15.56,8.05,7.97,9.85,12.74,17.06,21.27,24.20,24.66,20.99,16.97,13.03,9.33
Sardegna,16.03,8.96,8.86,10.73,13.16,17.06,21.35,24.43,24.79,21.50,17.68,13.24,10.13
Basilicata,14.31,6.23,6.30,8.63,11.81,16.39,20.58,23.48,23.82,19.72,15.49,11.19,7.46
Puglia,16.00,7.99,8.15,10.40,13.48,17.99,22.41,25.22,25.46,21.28,17.12,12.84,9.08
Abruzzi,12.48,4.19,4.35,6.91,10.17,14.77,18.91,21.91,22.11,17.74,13.54,9.21,5.31
Piemonte,10.31,1.48,2.19,5.70,9.08,13.22,17.22,19.75,19.52,15.54,11.06,5.92,2.49
Molise,13.82,5.57,5.66,8.20,11.45,16.06,20.20,23.18,23.42,19.21,14.98,10.54,6.77
Marche,13.78,5.02,5.62,8.51,12.06,16.48,20.63,23.38,23.47,18.95,14.52,10.26,5.88
