Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jamaica,25.64,24.03,24.25,24.60,25.41,25.88,26.61,26.80,27.11,26.62,26.08,25.46,24.77
"Saint Thomas",26.89,25.28,25.43,25.85,26.68,27.14,27.90,28.11,28.36,27.92,27.29,26.65,26.05
"Saint Mary",24.53,22.87,23.15,23.57,24.32,24.66,25.55,25.65,26.14,25.52,24.88,24.39,23.62
"Saint James",26.28,24.68,24.88,25.20,26.03,26.57,27.25,27.45,27.66,27.25,26.80,26.11,25.44
"Saint Elizabeth",26.43,24.89,25.04,25.37,26.20,26.74,27.34,27.57,27.78,27.38,26.93,26.23,25.60
"Saint Catherine",25.35,23.72,23.96,24.30,25.12,25.57,26.34,26.51,26.86,26.32,25.74,25.18,24.49
"Saint Ann",24.46,22.78,23.08,23.39,24.24,24.65,25.45,25.64,26.02,25.44,24.89,24.29,23.53
"Saint Andrew And Kingston",25.08,23.46,23.70,24.11,24.88,25.26,26.10,26.22,26.66,26.05,25.42,24.91,24.23
Portland,25.02,23.36,23.63,24.07,24.80,25.19,26.03,26.17,26.59,26.01,25.39,24.83,24.16
Manchester,26.24,24.67,24.85,25.15,25.99,26.53,27.17,27.38,27.62,27.21,26.71,26.06,25.40
Hanover,28.35,26.88,27.01,27.28,28.13,28.77,29.14,29.46,29.63,29.31,28.91,28.11,27.54
Westmoreland,27.91,26.41,26.55,26.84,27.68,28.30,28.74,29.03,29.21,28.87,28.46,27.68,27.09
Clarendon,25.80,24.19,24.41,24.70,25.54,26.06,26.75,26.95,27.23,26.79,26.24,25.65,24.93
Trelawny,26.00,24.41,24.62,24.93,25.76,26.29,26.97,27.17,27.40,26.97,26.51,25.83,25.16
