Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jordan,19.52,9.11,10.81,14.22,18.83,23.20,26.22,28.35,28.41,26.15,21.88,15.51,10.96
Zarqa,19.76,8.90,10.78,14.13,19.02,23.65,26.68,28.91,28.98,26.67,22.26,15.67,10.89
Ajloon,19.50,10.03,11.28,14.05,18.15,22.34,25.51,27.25,27.60,25.86,22.68,16.67,12.01
Mafraq,19.27,7.82,9.77,13.53,18.60,23.46,26.86,29.22,29.15,26.53,21.66,14.45,9.62
Madaba,19.32,18.66,17.39,18.48,16.92,18.39,20.35,21.90,22.13,20.62,19.71,18.48,18.57
Ma'an,19.81,8.94,10.86,14.39,19.39,23.74,26.68,28.77,28.87,26.68,22.18,15.69,10.95
Jarash,19.50,10.03,11.27,14.05,18.15,22.34,25.51,27.25,27.60,25.86,22.68,16.66,12.01
Irbid,19.87,10.47,11.71,14.44,18.50,22.54,25.79,27.67,28.06,26.23,23.00,17.02,12.43
Tafiela,18.58,9.49,10.76,13.73,17.75,21.58,24.28,26.19,26.38,24.37,21.14,15.59,11.23
Amman,18.97,10.33,11.47,14.33,17.87,21.76,24.56,26.50,26.64,24.63,21.24,15.86,11.99
Karak,18.78,10.21,11.26,14.02,17.71,21.49,24.16,26.05,26.24,24.30,21.36,16.11,11.98
Aqaba,20.17,10.31,11.88,15.25,19.62,23.77,26.36,28.35,28.39,26.38,22.35,16.65,12.16
Balqa,19.45,14.27,14.29,16.23,17.56,20.44,23.06,24.69,24.99,23.38,21.29,17.58,15.24
