Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Japan,11.70,0.03,0.60,4.11,9.71,14.78,18.61,22.64,23.91,20.16,14.27,8.26,2.61
Hirosima,14.43,3.49,4.08,7.11,12.31,17.10,20.90,25.18,26.33,22.31,16.69,11.07,5.89
Oosaka,15.66,4.61,5.10,8.28,13.72,18.49,22.19,26.36,27.51,23.77,17.92,12.27,6.99
Okinawa,23.37,17.23,17.72,19.40,21.83,24.46,27.34,28.94,28.70,27.68,25.34,22.40,18.99
Okayama,14.34,2.97,3.68,6.85,12.30,17.25,21.29,25.58,26.61,22.43,16.46,10.61,5.30
Hukusima,11.09,-0.58,-0.04,3.26,9.09,14.40,18.32,22.21,23.52,19.40,13.32,7.44,2.02
Ooita,15.29,4.42,5.36,8.62,13.57,18.13,21.59,25.54,26.36,22.98,17.57,12.06,6.63
Hukuoka,16.30,5.43,6.45,9.64,14.47,19.08,22.69,26.71,27.64,23.95,18.40,12.88,7.60
Niigata,12.15,0.27,0.67,3.91,9.86,15.29,19.51,23.68,25.03,20.75,14.56,8.51,3.07
Hukui,13.32,1.59,1.97,5.41,11.30,16.42,20.37,24.64,25.85,21.72,15.72,9.74,4.31
Nara,14.23,3.39,3.92,7.04,12.33,16.92,20.54,24.58,25.60,22.18,16.65,11.09,5.79
Ehime,15.02,4.36,5.06,8.23,13.21,17.64,21.02,25.06,26.05,22.77,17.48,11.99,6.71
Nagasaki,16.76,6.49,7.51,10.43,14.77,19.00,22.26,26.29,27.51,24.24,19.32,13.98,8.67
Aomori,9.69,-2.08,-1.75,1.68,7.46,12.81,16.79,20.78,22.46,18.52,12.31,6.14,0.42
Nagano,9.29,-3.16,-2.44,1.34,7.68,12.83,16.89,21.01,22.01,17.82,11.47,5.48,-0.32
Yamanasi,10.32,-1.48,-0.65,3.05,8.76,13.43,17.29,21.33,22.26,18.45,12.48,6.91,1.27
Akita,10.12,-2.00,-1.63,1.84,7.78,13.41,17.83,21.81,23.26,18.90,12.49,6.23,0.70
Miyazaki,15.77,5.13,6.44,9.63,14.34,18.49,21.70,25.51,26.09,23.27,18.12,12.68,7.21
Yamaguti,15.25,4.72,5.37,8.28,13.12,17.76,21.38,25.56,26.65,22.89,17.48,12.12,6.99
Aiti,15.42,4.14,4.94,8.27,13.66,18.32,21.96,25.92,27.17,23.65,17.89,11.97,6.48
Miyagi,11.63,0.04,0.49,3.76,9.33,14.80,18.78,22.58,24.17,20.11,14.06,8.01,2.63
Yamagata,10.89,-1.30,-0.94,2.48,8.59,14.46,18.84,22.76,24.05,19.52,13.16,6.86,1.44
Mie,14.94,4.22,4.78,7.80,12.96,17.53,21.23,25.18,26.31,22.89,17.42,11.80,6.48
Wakayama,15.82,5.55,6.03,9.05,13.90,18.18,21.51,25.45,26.54,23.51,18.37,13.13,7.96
Gunma,10.47,-1.40,-0.78,2.79,8.71,13.83,17.73,21.76,22.89,18.67,12.56,6.84,1.29
Gifu,11.88,-0.33,0.35,3.99,10.16,15.31,19.33,23.38,24.46,20.43,14.23,8.09,2.35
Kyooto,14.59,3.28,3.66,6.90,12.49,17.52,21.41,25.79,26.95,22.80,16.86,11.02,5.73
Tiba,15.90,5.83,6.34,9.24,13.84,18.25,21.31,24.98,26.70,23.66,18.50,13.23,8.20
Kumamoto,15.62,4.52,5.86,9.27,14.22,18.63,21.97,25.71,26.50,23.28,17.92,12.24,6.67
Toyama,11.69,-0.46,0.05,3.55,9.61,14.86,19.02,23.31,24.47,20.31,14.13,8.09,2.56
Tottori,13.37,2.01,2.65,5.85,11.25,16.29,20.27,24.62,25.63,21.33,15.50,9.79,4.51
Tookyoo,15.24,4.59,5.24,8.45,13.54,18.05,21.44,25.18,26.55,22.87,17.41,11.99,6.90
Kanagawa,15.21,4.72,5.29,8.43,13.42,17.87,21.18,25.01,26.39,22.79,17.40,12.16,7.14
Kagosima,17.99,8.47,9.48,12.23,16.26,20.09,23.21,26.80,27.34,24.97,20.46,15.49,10.45
Tokusima,14.95,4.30,4.86,7.97,13.03,17.59,21.04,25.02,26.04,22.72,17.40,11.97,6.73
Kagawa,15.99,5.13,5.63,8.67,13.85,18.63,22.48,26.68,27.77,23.99,18.27,12.59,7.41
Totigi,12.37,0.83,1.50,4.90,10.56,15.61,19.39,23.25,24.59,20.55,14.55,8.73,3.24
Iwate,9.62,-2.19,-1.73,1.68,7.49,12.91,16.88,20.76,22.29,18.19,12.02,5.91,0.42
