Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Kazakhstan,7.16,-10.93,-9.55,-1.75,9.32,16.60,21.91,23.78,22.05,15.49,7.67,-1.53,-8.18
"Almaty City area",8.37,-6.84,-4.80,2.31,10.13,14.99,19.61,21.99,21.14,15.98,8.76,1.00,-4.73
"Administrative unit not available",12.84,-1.13,-0.51,4.99,12.13,19.08,24.62,27.12,26.35,20.37,13.32,5.67,1.19
Kyzylordinskaya,10.70,-7.43,-5.96,2.77,13.04,20.50,25.96,27.80,25.70,18.56,10.18,1.31,-5.14
Kustanayskaya,5.48,-13.64,-12.47,-4.60,8.00,16.08,21.26,22.72,20.97,14.35,6.43,-3.60,-10.86
Karagandinskaya,5.63,-13.39,-12.08,-3.92,8.33,15.63,21.05,22.77,21.09,14.28,6.42,-3.32,-10.40
Jambylslkaya,10.33,-5.94,-3.96,3.42,12.25,18.13,23.15,25.25,23.63,17.70,10.38,2.55,-3.57
Zapadno-kazachstanskaya,8.02,-9.14,-8.92,-1.81,9.56,17.58,22.60,24.82,23.19,16.30,8.11,-0.49,-6.72
Atyrauskaya,9.94,-7.10,-6.49,0.91,11.21,18.93,24.45,26.73,25.03,17.94,9.76,1.38,-4.60
Yujno-kazachstanskaya,12.61,-3.05,-0.66,6.58,14.41,20.28,25.30,27.29,25.58,19.43,11.99,4.42,-1.15
Almatinskaya,7.63,-9.68,-7.42,0.68,9.94,15.67,20.46,22.49,21.23,15.59,8.29,0.00,-6.59
Vostochno-kazachstanskaya,3.50,-15.59,-13.46,-5.53,6.21,13.05,18.32,20.13,18.29,12.15,4.73,-5.13,-12.30
Aktyubinskaya,7.15,-11.81,-11.01,-2.98,9.30,17.38,22.96,25.07,23.08,15.97,7.44,-1.77,-9.00
Severo-kazachstanskaya,3.05,-15.71,-14.32,-6.62,5.30,13.37,18.63,19.86,17.92,11.69,4.40,-6.20,-12.88
Akmolinskaya,3.66,-15.27,-14.20,-6.60,6.04,14.01,19.39,20.75,19.10,12.55,4.92,-5.53,-12.44
Pavlodarskaya,3.51,-16.01,-14.47,-6.69,6.16,14.00,19.52,20.82,18.88,12.42,4.94,-5.88,-12.79
Mangistauskaya,12.35,-3.18,-2.28,4.47,12.59,19.86,25.49,28.07,26.65,20.00,12.08,4.27,-0.84
