Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cambodia,27.41,25.73,26.91,28.59,29.37,28.86,28.13,27.52,27.44,27.23,26.92,26.66,25.61
"Prey Veng",28.18,27.05,27.64,29.01,29.80,29.52,28.82,28.24,28.22,27.96,27.74,27.48,26.71
Pursat,26.89,25.65,26.54,27.92,28.44,28.16,27.38,26.87,26.76,26.61,26.33,26.42,25.65
"Area under National Administration 2",28.18,26.47,27.84,29.57,30.10,29.66,28.99,28.33,28.18,27.93,27.48,27.32,26.36
"Banteay Meanchey",28.30,26.05,28.02,29.85,30.53,30.03,29.31,28.64,28.36,28.23,27.72,27.07,25.81
Battambang,27.83,26.10,27.52,29.07,29.65,29.27,28.59,28.03,27.80,27.64,27.21,27.09,26.09
"Kampong Cham",27.92,26.63,27.44,29.00,29.76,29.30,28.56,27.90,27.93,27.65,27.41,27.15,26.28
"Kampong Chhnang",27.87,26.68,27.44,28.95,29.45,29.22,28.53,27.87,27.84,27.57,27.31,27.20,26.36
"Kampong Speu",27.33,26.33,26.85,28.10,28.67,28.58,27.84,27.33,27.28,27.09,26.90,26.86,26.13
"Kampong Thom",27.91,26.38,27.57,29.40,30.00,29.31,28.57,27.86,27.80,27.60,27.33,27.05,26.01
Kampot,27.53,26.59,26.94,28.02,28.78,28.76,28.00,27.51,27.50,27.38,27.22,27.15,26.46
Kandal,28.23,27.19,27.66,29.00,29.69,29.52,28.89,28.29,28.29,28.04,27.80,27.56,26.80
"Koh Kong",26.73,25.80,26.27,27.37,28.03,27.85,27.00,26.61,26.52,26.46,26.34,26.57,25.91
"Ratanak Kiri",26.13,23.39,24.90,26.95,28.21,27.82,27.33,26.79,26.81,26.34,25.92,25.26,23.75
"Siem Reap",28.09,26.04,27.73,29.66,30.31,29.70,29.00,28.33,28.11,27.91,27.43,27.06,25.88
"Stung Treng",27.07,24.84,26.57,28.66,29.55,28.56,27.81,27.16,27.16,26.85,26.61,26.25,24.84
"Svay Rieng",28.10,26.86,27.52,28.85,29.84,29.46,28.68,28.18,28.07,27.87,27.70,27.48,26.69
Takeo,28.12,27.12,27.51,28.70,29.46,29.38,28.67,28.17,28.16,27.99,27.79,27.64,26.88
Kep,27.49,26.54,26.89,27.94,28.74,28.73,27.97,27.47,27.47,27.33,27.17,27.13,26.46
Kratie,27.36,25.74,26.87,28.67,29.62,28.82,28.05,27.33,27.32,27.14,26.84,26.54,25.46
"Preah Sihanouk",27.46,26.58,26.91,27.96,28.71,28.61,27.85,27.45,27.33,27.26,27.11,27.21,26.59
"Area under National Administration 1",28.18,26.47,27.84,29.57,30.10,29.66,28.99,28.33,28.18,27.93,27.48,27.32,26.36
"Mondul Kiri",26.13,24.04,25.28,27.07,28.41,27.77,27.04,26.36,26.31,26.15,25.76,25.24,24.09
"Otdar Meanchey",27.83,25.37,27.34,29.48,30.25,29.64,28.89,28.29,28.00,27.77,27.26,26.52,25.13
Pailin,27.33,25.91,27.03,28.38,28.96,28.59,27.90,27.39,27.18,27.13,26.84,26.78,25.85
"Phnom Penh",28.20,27.21,27.64,28.99,29.60,29.46,28.88,28.27,28.29,27.98,27.75,27.56,26.78
"Preah Vihear",27.68,25.61,27.41,29.48,30.15,29.23,28.36,27.67,27.57,27.39,27.10,26.75,25.43
