Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Korea, Republic of",12.14,-1.78,0.65,5.61,11.67,16.72,21.23,24.40,24.89,20.12,13.97,7.05,0.44
Kyongsangnam-do,13.46,0.56,2.73,7.28,12.74,17.39,21.51,24.86,25.60,21.18,15.47,8.85,2.59
Kyongsangbuk-do,12.39,-1.24,1.20,6.02,12.06,16.90,21.33,24.48,24.98,20.13,14.09,7.27,0.80
Kwangju,13.64,0.48,2.39,6.77,12.49,17.66,22.31,25.68,26.38,21.74,15.55,8.89,2.70
Kang-won-do,9.89,-4.66,-2.08,3.24,9.82,14.99,19.43,22.49,22.73,17.86,11.70,4.62,-2.21
Inchon,12.45,-2.25,0.30,5.57,11.88,17.27,21.98,25.07,25.63,21.06,14.67,7.38,0.12
Chungchongnam-do,12.73,-1.44,0.91,5.89,11.95,17.30,22.19,25.36,25.82,20.96,14.53,7.56,0.91
Chungchongbuk-do,11.65,-3.29,-0.34,5.16,11.57,16.86,21.73,24.66,24.88,19.79,13.12,5.89,-1.04
Taejon,12.70,-1.84,0.76,6.04,12.39,17.66,22.51,25.63,25.91,20.86,14.18,7.11,0.35
Chollanam-do,13.94,1.29,3.08,7.32,12.68,17.63,21.94,25.38,26.32,21.92,16.12,9.54,3.39
Taegu,13.02,-0.51,1.97,6.82,12.59,17.32,21.80,24.98,25.60,20.69,14.78,7.93,1.53
Chollabuk-do,12.67,-1.01,1.18,6.01,11.95,17.06,21.75,24.99,25.49,20.67,14.40,7.61,1.16
Seoul,11.97,-3.35,-0.39,5.27,11.79,17.21,21.97,24.91,25.32,20.56,13.97,6.50,-0.93
Cheju-do,15.04,5.00,5.89,8.81,12.77,16.85,20.60,24.72,25.91,22.32,17.69,12.28,7.04
Pusan,14.47,2.31,4.33,8.31,13.32,17.76,21.35,24.94,26.23,22.16,17.06,10.73,4.50
Kyonggi-do,11.86,-3.48,-0.47,5.20,11.70,17.13,21.95,24.89,25.24,20.40,13.75,6.30,-1.06
