Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Laos,24.14,19.79,21.52,24.04,26.13,26.66,26.65,26.20,25.95,25.63,24.43,22.55,20.07
Xiangkhouang,22.39,17.74,19.31,21.81,24.17,25.06,25.33,24.89,24.53,24.33,22.87,20.62,17.91
Vientiane,24.57,20.47,22.25,24.88,26.88,26.96,26.91,26.33,26.00,25.91,24.89,22.89,20.34
Champasak,26.38,23.48,25.74,28.02,28.75,28.02,27.14,26.70,26.60,26.26,26.00,25.68,24.20
Xekong,23.08,19.21,20.77,22.85,24.60,25.24,25.26,24.97,24.84,23.96,22.99,21.99,20.15
Bolikhamxai,24.61,20.13,21.82,24.39,26.67,27.19,27.16,26.81,26.39,26.24,25.05,23.05,20.36
Bokeo,23.90,19.40,21.13,23.85,26.18,26.55,26.59,25.92,25.78,25.64,24.37,22.04,19.24
Xaignabouli,24.31,20.14,22.05,24.69,26.79,26.73,26.60,25.91,25.71,25.69,24.69,22.67,19.99
Attapu,25.00,21.65,23.46,25.59,26.84,26.84,26.49,26.11,26.06,25.40,24.83,24.16,22.48
Savannakhet,25.92,21.76,23.61,26.16,28.09,28.44,28.08,27.81,27.50,26.92,25.86,24.47,22.28
Salavan,25.23,21.33,23.27,25.54,27.14,27.48,27.11,26.80,26.63,25.90,25.05,24.15,22.25
Phongsali,22.36,17.12,18.66,21.26,23.89,25.25,25.87,25.44,25.29,24.83,22.99,20.24,17.33
Oudomxai,23.16,18.59,20.29,22.83,25.07,25.79,26.02,25.41,25.26,25.11,23.69,21.26,18.48
Louang-Namtha,22.61,18.01,19.55,22.11,24.49,25.31,25.52,24.91,24.82,24.65,23.19,20.69,17.97
Louangphabang,23.49,18.80,20.49,23.02,25.35,26.24,26.52,25.94,25.66,25.47,23.96,21.56,18.80
Khammouan,25.03,20.69,22.39,24.96,27.19,27.65,27.38,27.08,26.70,26.42,25.29,23.53,21.01
Houaphan,22.71,17.24,18.62,21.30,24.06,25.75,26.38,26.04,25.67,25.22,23.37,20.77,17.88
"Vientiane capital",26.50,22.65,24.50,27.24,29.13,28.76,28.52,28.00,27.61,27.50,26.70,24.90,22.43
