Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Libya,22.82,12.53,14.52,18.56,23.71,27.36,30.13,30.45,30.53,28.69,24.48,18.56,13.84
"Al Jufrah",21.39,11.20,13.08,17.10,22.17,25.77,28.75,28.88,29.07,27.45,23.11,17.09,12.56
"Al Jabal Al Akhdar",19.21,11.56,12.06,14.41,17.87,21.27,24.74,25.78,26.22,24.38,21.62,17.19,12.97
"Al Fatah",19.76,12.04,12.50,14.94,18.62,21.99,25.40,26.21,26.75,24.92,22.19,17.66,13.46
"Zeleitin (zliten)",21.13,12.99,13.94,16.35,19.77,22.69,26.11,27.68,28.60,27.34,23.94,19.14,14.57
"Al Aziziyah",21.10,11.96,13.20,16.03,19.93,23.49,27.27,28.65,29.35,27.40,23.66,18.33,13.44
"Yafran (yefren)",20.94,11.06,12.83,16.00,20.09,23.71,27.57,29.16,29.63,27.35,23.23,17.68,12.42
"Tubruq (tobruk)",21.44,12.66,13.88,16.96,20.85,24.47,27.65,28.78,28.96,26.92,23.56,18.16,13.92
"Tripoli (tarabulus)",21.30,12.46,13.47,16.17,20.01,23.54,27.38,28.54,29.37,27.48,23.96,18.74,13.99
Banghazi,20.80,12.98,13.52,16.07,19.97,23.20,26.44,27.04,27.65,25.96,23.35,18.60,14.38
"Az Zawia (azzawiya)",21.59,12.61,13.85,16.62,20.40,23.79,27.45,29.00,29.77,27.83,24.31,18.92,14.01
"Awbari (ubari)",23.72,12.19,14.68,19.42,25.04,29.33,32.40,32.20,31.89,29.96,25.19,18.64,13.24
"Ash Shati",22.70,11.28,13.59,18.11,23.65,27.72,31.23,31.28,31.18,29.13,24.36,17.90,12.48
"Al Kufrah",24.15,13.61,15.81,20.25,25.94,29.49,31.41,31.58,31.53,29.70,25.37,19.52,15.07
"Al Khoms",21.07,12.74,13.63,16.15,19.67,22.88,26.50,27.91,28.75,27.21,23.79,18.86,14.31
Murzuq,23.79,12.60,15.19,19.82,25.62,29.38,31.83,31.62,31.48,29.78,25.15,18.78,13.75
Misurata,21.17,13.55,14.35,16.50,19.70,22.30,25.52,27.27,28.32,27.24,24.13,19.58,15.15
Gharyan,21.38,10.86,12.89,16.64,21.29,25.05,28.80,29.76,29.92,27.80,23.26,17.51,12.21
Ghadamis,21.99,10.74,13.01,16.82,21.97,25.99,30.28,31.17,31.28,28.62,23.96,17.49,11.98
Darnah,19.88,12.29,12.85,15.26,18.45,21.70,25.20,26.41,26.88,25.10,22.40,17.88,13.67
"Ajdabiya (agedabia)",22.41,13.01,14.50,18.03,22.68,26.31,29.11,29.62,29.88,28.05,24.33,18.59,14.30
Tarhunah,20.60,11.72,12.85,15.61,19.34,22.81,26.54,27.97,28.63,26.89,23.11,18.02,13.22
"Surt (sirte)",20.84,12.62,13.73,16.60,20.52,23.24,26.26,27.02,27.74,26.45,23.29,18.19,13.99
"Sawfajjin (sofuljeen)",21.27,12.58,13.89,16.82,20.63,23.55,26.92,28.03,28.72,27.34,23.72,18.60,14.02
Sabha,22.78,11.55,13.87,18.39,24.20,27.99,31.06,30.85,30.87,28.98,24.39,18.04,12.71
"Nuqat Al Khams",21.82,13.27,14.44,17.02,20.42,23.55,27.06,28.89,29.97,27.95,24.82,19.39,14.53
