Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Liechtenstein,7.53,-1.15,-0.55,2.94,6.87,11.08,14.61,16.47,16.23,12.38,8.07,3.31,-0.44
Eschen,7.53,-1.15,-0.55,2.93,6.86,11.08,14.61,16.47,16.22,12.37,8.06,3.31,-0.45
Balzers,7.56,-1.11,-0.51,2.97,6.89,11.11,14.64,16.50,16.25,12.40,8.09,3.32,-0.40
Vaduz,7.53,-1.15,-0.55,2.93,6.86,11.08,14.61,16.47,16.22,12.37,8.06,3.31,-0.45
Triesenberg,7.53,-1.15,-0.55,2.93,6.86,11.08,14.61,16.47,16.22,12.37,8.06,3.31,-0.45
Triesen,7.53,-1.15,-0.55,2.93,6.86,11.08,14.61,16.47,16.22,12.37,8.06,3.31,-0.45
Schellenberg,7.53,-1.15,-0.55,2.93,6.86,11.08,14.61,16.47,16.22,12.37,8.06,3.31,-0.45
Schaan,7.56,-1.12,-0.52,2.96,6.89,11.10,14.63,16.49,16.25,12.40,8.09,3.32,-0.41
Ruggell,7.53,-1.15,-0.55,2.93,6.86,11.08,14.61,16.47,16.22,12.37,8.06,3.31,-0.45
Planken,7.53,-1.15,-0.55,2.93,6.86,11.08,14.61,16.47,16.22,12.37,8.06,3.31,-0.45
Mauren,7.53,-1.15,-0.55,2.93,6.86,11.08,14.61,16.47,16.22,12.37,8.06,3.31,-0.45
Gamprin,7.53,-1.15,-0.55,2.93,6.86,11.08,14.61,16.47,16.22,12.37,8.06,3.31,-0.45
