Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Sri Lanka",27.25,25.67,26.45,27.58,28.21,28.40,28.16,28.00,27.74,27.60,27.05,26.34,25.79
Western,27.11,26.24,26.83,27.73,27.99,27.88,27.53,27.34,27.21,27.12,26.80,26.49,26.22
Uva,26.15,24.73,25.37,26.38,26.97,27.10,26.87,26.91,26.58,26.30,26.02,25.47,24.98
Southern,26.99,26.07,26.57,27.36,27.80,27.72,27.43,27.35,27.10,26.95,26.78,26.46,26.23
Sabaragamuwa,25.69,24.64,25.28,26.22,26.60,26.48,26.13,26.01,25.85,25.67,25.48,25.13,24.77
Northern,28.54,26.38,27.27,28.66,29.81,30.19,29.99,29.66,29.23,29.21,28.31,27.21,26.44
"North Western",27.86,26.29,27.27,28.56,28.87,28.90,28.57,28.39,28.29,28.26,27.61,26.91,26.35
"North Central",28.11,26.17,27.10,28.37,29.11,29.51,29.34,29.08,28.81,28.73,27.89,26.91,26.26
Eastern,28.11,26.29,27.06,28.14,28.95,29.44,29.34,29.21,28.90,28.63,27.90,27.00,26.43
Central,24.63,23.13,23.98,25.16,25.68,25.61,25.25,25.12,24.94,24.79,24.51,24.03,23.39
